,R
0,204
1,480
2,759
3,1034
4,1306
5,1574
6,1855
7,2125
8,2383
9,2646
10,2908
11,3175
12,3444
13,3710
14,3967
15,4238
16,4514
17,4779
18,5036
19,5300
20,5568
21,5842
22,6107
23,6371
24,6644
25,6919
26,7184
27,7443
28,7707
29,7976
30,8249
31,8490
32,8776
33,9046
34,9321
35,9586
36,9851
37,10118
38,10388
39,10667
40,10941
41,11209
42,11477
43,11760
44,12035
45,12308
46,12583
47,12852
48,13130
49,13402
50,13668
51,13933
52,14214
53,14481
54,14742
55,15009
56,15276
57,15548
58,15823
59,16097
60,16371
61,16664
62,16942
63,17211
64,17489
65,17765
66,18045
67,18316
68,18583
69,18850
70,19124
71,19389
72,19642
73,19905
74,20169
75,20438
76,20707
77,20972
78,21233
79,21508
80,21777
81,22036
82,22251
83,22571
84,22848
85,23340
86,23629
87,23923
88,24206
89,24480
90,24757
91,25031
92,25313
93,25582
94,25848
95,26122
96,26305
97,26669
98,26933
99,27203
100,27461
101,27733
102,28002
103,28269
104,28540
105,28824
106,29095
107,29361
108,29634
109,29903
110,30180
111,30457
112,30728
113,30995
114,31269
115,31534
116,31783
117,32048
118,32312
119,32578
120,32848
121,33112
122,33371
123,33644
124,33910
125,34170
126,34431
127,34698
128,34970
129,35237
130,35499
131,35758
132,36019
133,36292
134,36558
135,36819
136,37091
137,37356
138,37628
139,37893
140,38151
141,38413
142,38683
143,38944
144,39205
145,39462
146,39726
147,39992
148,40261
149,40520
150,40779
151,41055
152,41331
153,41602
154,41867
155,42139
156,42411
157,42685
158,42841
159,42994
160,43620
161,44045
162,44325
163,44586
164,44879
165,45163
166,45424
167,45693
168,45965
169,46216
170,46499
171,46763
172,46995
173,47295
174,47571
175,47760
176,48091
177,48364
178,48561
179,48903
180,49167
181,49364
182,49694
183,49943
184,50165
185,50490
186,50753
187,51032
188,51546
189,51806
190,52066
191,52598
192,52850
193,53104
194,53640
195,53892
196,54146
197,54676
198,54947
199,55211
200,55753
201,56028
202,56294
203,56819
204,57086
205,57355
206,57605
207,57857
208,58121
209,58386
210,58639
211,58891
212,59061
213,59397
214,59660
215,59915
216,60169
217,60432
218,60704
219,60963
220,61217
221,61477
222,61733
223,61995
224,62470
225,62746
226,63291
227,63555
228,63815
229,64091
230,64362
231,64639
232,64905
233,65164
234,65431
235,65702
236,65959
237,66211
238,66475
239,66739
240,67242
241,67518
242,67740
243,68062
244,68331
245,68596
246,68868
247,69136
248,69408
249,69675
250,69943
251,70204
252,70478
253,70747
254,71012
255,71281
256,71542
257,71812
258,72078
259,72341
260,72600
261,72876
262,73145
263,73413
264,73675
265,73938
266,74209
267,74481
268,74739
269,74998
270,75276
271,75553
272,75820
273,76084
274,76351
275,76618
276,76890
277,77156
278,77418
279,77687
280,77963
281,78223
282,78476
283,78736
284,78988
285,79249
286,79511
287,79775
288,80037
289,80315
290,80586
291,80848
292,81116
293,81931
294,82202
295,82467
296,82742
297,83008
298,83263
299,83516
300,83775
301,84031
302,84301
303,84558
304,84814
305,85081
306,85348
307,85612
308,85868
309,86136
310,86403
311,86679
312,86941
313,87204
314,87471
315,87741
316,88004
317,88260
318,88525
319,88784
320,89056
321,89313
322,89568
323,89827
324,90101
325,90360
326,90610
327,90867
328,91124
329,91393
330,91657
331,91916
332,92171
333,92447
334,92711
335,92963
336,93230
337,93495
338,93764
339,94035
340,94301
341,94560
342,94830
343,95088
344,95344
345,95599
346,95860
347,96118
348,96382
349,96634
350,96888
351,97149
352,97414
353,97676
354,97933
355,98197
356,98460
357,98728
358,98986
359,99244
360,99504
361,99774
362,100036
363,100293
364,100800
365,101044
366,101327
367,101586
368,101839
369,102106
370,102366
371,102624
372,102888
373,103150
374,103413
375,103680
376,103937
377,104191
378,104456
379,104730
380,104992
381,105248
382,105512
383,105768
384,106035
385,106524
386,106794
387,107076
388,107350
389,107609
390,107871
391,108131
392,108394
393,108657
394,108910
395,109162
396,109425
397,109691
398,109952
399,110206
400,110465
401,110727
402,110986
403,111248
404,111438
405,111772
406,112053
407,112320
408,112577
409,112839
410,113098
411,113363
412,113628
413,113887
414,114145
415,114410
416,114671
417,114928
418,115185
419,115441
420,115705
421,115976
422,116237
423,116496
424,116765
425,117036
426,117299
427,117552
428,117813
429,118066
430,118333
431,118590
432,118849
433,119110
434,119382
435,119643
436,119898
437,120165
438,120429
439,120699
440,120970
441,121234
442,121495
443,121773
444,122034
445,122289
446,122551
447,122813
448,123083
449,123348
450,123608
451,123860
452,124125
453,124386
454,124639
455,124892
456,125152
457,125419
458,125684
459,125945
460,126429
461,126712
462,126983
463,127252
464,127524
465,127800
466,128075
467,128339
468,128601
469,128878
470,129144
471,129410
472,129673
473,129934
474,130199
475,130468
476,130721
477,130977
478,131239
479,131511
480,131778
481,132036
482,132305
483,132562
484,132827
485,133609
486,133895
487,134166
488,134426
489,134957
490,135230
491,135494
492,135762
493,136028
494,136309
495,136581
496,136842
497,137117
498,137391
499,137677
500,137956
501,138230
502,138492
503,138765
504,139026
505,139280
506,139537
507,139795
508,140060
509,140322
510,140578
511,140827
512,141083
513,141346
514,141602
515,141853
516,142110
517,142359
518,142618
519,142871
520,143122
521,143369
522,143628
523,143880
524,144132
525,144379
526,144630
527,144883
528,145137
529,145388
530,145634
531,145887
532,146154
533,146407
534,146661
535,146912
536,147164
537,147417
538,147677
539,147918
540,148161
541,148415
542,148677
543,148930
544,149177
545,149429
546,149681
547,149937
548,150200
549,150452
550,150701
551,150966
552,151225
553,151482
554,151728
555,151987
556,152238
557,152492
558,152741
559,152989
560,153242
561,153509
562,153767
563,154014
564,154268
565,154491
566,154784
567,155043
568,155277
569,155548
570,155809
571,156061
572,156316
573,156558
574,156809
575,157056
576,157552
577,157797
578,158043
579,158305
580,158556
581,158802
582,159049
583,159297
584,159548
585,159804
586,160046
587,160283
588,160541
589,160797
590,161047
591,161288
592,161537
593,161778
594,162029
595,162278
596,162525
597,162763
598,163255
599,163505
600,163999
601,164243
602,164492
603,164737
604,164982
605,165221
606,165470
607,165710
608,165952
609,166192
610,166440
611,166682
612,166934
613,167422
614,167669
615,167924
616,168170
617,168415
618,168654
619,169141
620,169390
621,169866
622,170114
623,170368
624,170608
625,170854
626,171095
627,171577
628,171831
629,172074
630,172318
631,172816
632,173072
633,173320
634,173568
635,173817
636,174061
637,174312
638,174559
639,175295
640,175548
641,175792
642,176035
643,176292
644,176540
645,176793
646,177043
647,177286
648,177535
649,177790
650,178037
651,178280
652,178523
653,178775
654,179022
655,179276
656,179526
657,179776
658,180027
659,180291
660,180542
661,180787
662,181041
663,181294
664,181553
665,181817
666,182072
667,182324
668,182584
669,182843
670,183101
671,183345
672,183596
673,183845
674,184100
675,184351
676,185113
677,185376
678,185630
679,185883
680,186134
681,186393
682,186649
683,186893
684,187139
685,187390
686,187647
687,187899
688,188141
689,188390
690,188635
691,188890
692,189146
693,189393
694,189635
695,189893
696,190144
697,190391
698,190639
699,191377
700,191632
701,191882
702,192125
703,192389
704,192639
705,192882
706,193131
707,193385
708,193642
709,193900
710,194153
711,194394
712,194651
713,194906
714,195152
715,195392
716,195631
717,195869
718,196359
719,196606
720,197102
721,197348
722,197597
723,197840
724,198088
725,198329
726,198579
727,198821
728,199064
729,199300
730,199553
731,199797
732,200040
733,200280
734,200769
735,201027
736,201273
737,201520
738,201766
739,202024
740,202269
741,202513
742,202758
743,202916
744,203251
745,203502
746,203747
747,203986
748,204223
749,204476
750,204715
751,205185
752,205433
753,205910
754,206153
