,PVC
0,143128
1,145119
2,153924
3,157166
4,165508
5,169791
6,171883
7,189391
8,197544
9,199762
10,201061
11,202371
12,203608
13,204885
14,206135
15,207431
16,209794
17,210928
18,212989
19,214992
20,217010
21,219075
22,220401
23,221710
24,222926
25,228657
26,231045
27,232307
28,233617
29,234912
30,236148
31,238137
32,239450
33,240714
34,241963
35,243245
36,244481
37,245800
38,247006
39,248278
40,249471
41,250699
42,251989
43,253243
44,254549
45,255762
46,257082
47,258357
48,259567
49,260809
50,262016
51,263297
52,264544
53,265808
54,267699
55,269998
56,271243
57,273565
58,275888
59,278733
60,281500
61,282692
62,285554
63,287288
64,289059
65,290750
66,292715
67,293983
68,295238
69,296454
70,297735
71,298977
72,300291
73,301560
74,302782
75,304022
76,305226
77,306517
78,307738
79,309000
80,310228
81,311449
82,312701
83,313924
84,315187
85,316362
86,317608
87,318872
88,320119
89,321386
90,322600
91,323868
92,325107
93,326330
94,327584
95,328731
96,330443
97,332157
98,333831
99,335487
100,337158
101,338860
102,340587
103,342286
104,343959
105,345645
106,347354
107,349037
108,350741
109,352024
110,353913
111,355135
112,356438
113,357619
114,359496
115,360708
116,363392
117,365369
118,366547
119,367759
120,369037
121,370270
122,371525
123,372754
124,373957
125,375882
126,377094
127,378342
128,379595
129,380832
130,382092
131,383251
132,384525
133,385741
134,386998
135,388952
136,390213
137,391429
138,393297
139,394567
140,395818
141,401890
142,409085
143,412498
144,413997
145,415953
146,417225
147,418752
148,420680
149,421903
150,423171
151,424416
152,426815
153,428761
154,431126
155,432365
156,435151
157,436829
158,439198
159,440416
160,441643
161,443545
162,444841
163,446776
164,448732
165,449984
166,453468
167,456272
168,458008
169,460334
170,461555
171,463943
172,466292
173,467477
174,468740
175,469974
176,471157
177,472470
178,473705
179,475002
180,476225
181,477496
182,478729
183,479922
184,481219
185,482456
186,483771
187,484974
188,486238
189,487494
190,488709
191,490001
192,491225
193,492495
194,507959
195,510454
196,522226
197,554359
