,PVC
0,13696
1,28976
2,29537
3,31241
4,31823
5,32364
6,32897
7,40701
8,57864
9,65559
10,67804
11,74611
12,75720
13,85304
14,85888
15,93332
16,93890
17,95809
18,105764
19,106308
20,106861
21,107712
22,112684
23,113256
24,125852
25,126493
26,134929
27,135525
28,135693
29,139548
30,147685
31,148269
32,148846
33,149396
34,149560
35,155038
36,155202
37,155367
38,156807
39,159714
40,162091
41,163580
42,165035
43,165190
44,166885
45,168372
46,169540
47,177930
48,184002
49,196974
50,197564
51,202640
52,214613
53,215239
54,215790
55,250856
56,252282
57,252454
58,253527
59,254097
60,254661
61,255472
62,259388
63,260888
64,261760
65,263301
66,265094
67,266867
68,268233
69,269715
70,270270
71,270822
72,271406
73,274384
74,277671
75,279733
76,282736
77,284197
78,287144
79,294811
80,298299
81,300671
82,301236
83,301806
84,304042
85,304560
86,306846
87,310958
88,311505
89,312130
90,312696
91,319750
92,320525
93,322612
94,324684
95,325547
96,328523
97,330462
98,332199
99,334925
100,338059
101,339320
102,339802
103,345196
104,346941
105,347106
106,352584
107,359122
108,359631
109,362107
110,364442
111,365956
112,367854
113,368030
114,370005
115,370155
116,370725
117,371406
118,372729
119,373474
120,374806
121,375682
122,378985
123,383688
124,384802
125,390094
126,390651
127,393389
128,393894
129,395030
130,448408
131,458530
132,484601
133,484771
134,488897
135,503976
136,504558
137,505092
138,520194
139,520752
140,522587
141,524382
142,525829
143,527589
144,529060
145,530849
146,532291
147,534050
148,537394
149,539179
150,540941
151,542404
152,544225
153,546007
154,547765
155,549507
156,551262
157,553033
158,554502
159,585719
160,601748
161,602301
