,PVC
0,6428
1,9103
2,9214
3,10490
4,10619
5,15018
6,16809
7,18467
8,19554
9,26075
10,27653
11,27766
12,30825
13,34846
14,36057
15,38357
16,46161
17,51138
18,57394
19,58503
20,59038
21,60197
22,62314
23,64556
24,64672
25,64787
26,65290
27,71545
28,71681
29,72931
30,82349
31,84253
32,93706
33,110062
34,110192
35,117502
36,119176
37,131474
38,137843
39,145925
40,147053
41,153858
42,153990
43,155285
44,155844
45,158554
46,162226
47,173352
48,178107
49,178718
50,179612
51,179715
52,180215
53,182945
54,189652
55,192000
56,192126
57,199892
58,202545
59,204471
60,206159
61,206275
62,212485
63,218976
64,221888
65,223036
66,232576
67,234291
68,235456
69,236446
70,242296
71,245624
72,260446
73,260575
74,264076
75,267725
76,279666
77,292854
78,300927
79,311010
80,315798
81,319309
82,324145
83,328676
84,346652
85,349686
86,352290
87,354995
88,355148
89,357877
90,364285
91,364442
92,365038
93,366767
94,372404
95,372771
96,379345
97,384040
98,387375
99,399758
100,403123
101,405306
102,410929
103,428984
104,430514
105,435371
106,439294
107,443184
108,443304
109,443430
110,449561
111,452482
112,457939
113,458920
114,460089
115,469656
116,469758
117,480151
118,482046
119,485016
120,502168
121,509584
122,510317
123,516919
124,520604
125,523128
126,526133
127,526237
128,526706
129,530702
130,531836
131,533198
132,534727
133,535316
134,539518
135,540858
136,540994
137,545317
138,547379
139,561525
140,566861
141,572972
142,573115
143,579380
144,579517
145,584924
146,586505
147,588015
148,589367
149,595414
150,595790
151,600625
152,603438
153,605414
154,615568
155,617861
156,622141
157,629159
158,634033
159,637691
160,640618
161,644238
162,644384
163,647255
