,R
0,75
1,349
2,616
3,880
4,1138
5,1400
6,1666
7,1926
8,2199
9,2467
10,2726
11,2985
12,3243
13,3502
14,3763
15,4026
16,4300
17,4570
18,4841
19,5115
20,5387
21,5662
22,5926
23,6193
24,6458
25,6732
26,7005
27,7262
28,7524
29,7776
30,8024
31,8273
32,8523
33,8782
34,9052
35,9329
36,9598
37,9872
38,10156
39,10437
40,10717
41,10990
42,11259
43,11532
44,11805
45,12079
46,12358
47,12643
48,12923
49,13208
50,13498
51,13781
52,14056
53,14332
54,14610
55,14876
56,15153
57,15434
58,15708
59,15983
60,16269
61,16570
62,16867
63,17163
64,17451
65,17728
66,18007
67,18278
68,18560
69,18850
70,19134
71,19413
72,19690
73,19979
74,20270
75,20560
76,20834
77,21111
78,21395
79,21689
80,21997
81,22301
82,22595
83,22895
84,23200
85,23493
86,23778
87,24058
88,24348
89,24649
90,24946
91,25244
92,25543
93,25826
94,26088
95,26353
96,26622
97,26884
98,27159
99,27447
100,27740
101,28033
102,28330
103,28632
104,28922
105,29211
106,29495
107,29784
108,30082
109,30382
110,30670
111,30951
112,31221
113,31496
114,31789
115,32080
116,32376
117,32671
118,32980
119,33289
120,33583
121,33869
122,34155
123,34439
124,34719
125,35009
126,35309
127,35620
128,35947
129,36260
130,36575
131,36890
132,37184
133,37476
134,37763
135,38056
136,38355
137,38666
138,38977
139,39267
140,39552
141,39836
142,40124
143,40401
144,40682
145,40966
146,41242
147,41532
148,41829
149,42138
150,42438
151,42745
152,43063
153,43373
154,43668
155,43944
156,44218
157,44485
158,44755
159,45030
160,45296
161,45565
162,45837
163,46112
164,46390
165,46662
166,46948
167,47273
168,47599
169,47933
170,48248
171,48547
172,48841
173,49137
174,49427
175,49711
176,49994
177,50271
178,50552
179,50838
180,51128
181,51422
182,51717
183,52005
184,52295
185,52595
186,52891
187,53177
188,53457
189,53732
190,54007
191,54275
192,54546
193,54820
194,55093
195,55377
196,55671
197,55962
198,56236
199,56508
200,56772
201,57036
202,57298
203,57567
204,57839
205,58115
206,58391
207,58661
208,58943
209,59237
210,59520
211,59791
212,60045
213,60294
214,60536
215,60775
216,61015
217,61262
218,61504
219,61752
220,61998
221,62255
222,62514
223,62766
224,63019
225,63265
226,63509
227,63759
228,64001
229,64248
230,64495
231,64732
232,64970
233,65204
234,65435
235,65671
236,65900
237,66127
238,66345
239,66564
240,66781
241,67014
242,67255
243,67515
244,67796
245,68075
246,68349
247,68606
248,68860
249,69105
250,69336
251,69567
252,69791
253,70018
254,70251
255,70489
256,70734
257,70997
258,71258
259,71520
260,71780
261,72054
262,72323
263,72579
264,72840
265,73091
266,73342
267,73593
268,73845
269,74107
270,74379
271,74642
272,74902
273,75163
274,75428
275,75692
276,75952
277,76215
278,76480
279,76739
280,76989
281,77241
282,77488
283,77729
284,77965
285,78197
286,78428
287,78663
288,78905
289,79147
290,79400
291,79647
292,79900
293,80158
294,80420
295,80674
296,80932
297,81179
298,81429
299,81675
300,81917
301,82161
302,82395
303,82626
304,82853
305,83088
306,83338
307,83587
308,83848
309,84108
310,84365
311,84612
312,84851
313,85100
314,85346
315,85587
316,85831
317,86073
318,86335
319,86604
320,86854
321,87102
322,87351
323,87600
324,87847
325,88091
326,88338
327,88589
328,88834
329,89081
330,89327
331,89588
332,89862
333,90122
334,90387
335,90665
336,90920
337,91173
338,91424
339,91684
340,91956
341,92227
342,92486
343,92740
344,92998
345,93255
346,93523
347,93793
348,94055
349,94308
350,94558
351,94824
352,95122
353,95428
354,95740
355,96047
356,96342
357,96611
358,96876
359,97134
360,97381
361,97629
362,97873
363,98114
364,98358
365,98595
366,98837
367,99073
368,99322
369,99573
370,99816
371,100066
372,100310
373,100559
374,100822
375,101084
376,101360
377,101625
378,101874
379,102134
380,102405
381,102688
382,102988
383,103327
384,103647
385,103977
386,104313
387,104664
388,105025
389,105347
390,105650
391,105962
392,106292
393,106646
394,107007
395,107359
396,107708
397,108050
398,108391
399,108724
400,109051
401,109399
402,109753
403,110086
404,110413
405,110752
406,111078
407,111416
408,111767
409,112092
410,112403
411,112746
412,113100
413,113438
414,113781
415,114083
416,114387
417,114712
418,115033
419,115355
420,115694
421,116038
422,116389
423,116729
424,117069
425,117419
426,117758
427,118084
428,118418
429,118762
430,119125
431,119492
432,119836
433,120171
434,120522
435,120864
436,121209
437,121557
438,121898
439,122253
440,122607
441,122914
442,123223
443,123541
444,123887
445,124225
446,124541
447,124847
448,125152
449,125468
450,125806
451,126149
452,126467
453,126766
454,127071
455,127390
456,127737
457,128092
458,128441
459,128787
460,129102
461,129401
462,129684
463,129970
464,130263
465,130574
466,130919
467,131266
468,131615
469,131932
470,132249
471,132541
472,132832
473,133137
474,133466
475,133798
476,134162
477,134536
478,134893
479,135242
480,135593
481,135928
482,136262
483,136579
484,136909
485,137258
486,137591
487,137927
488,138265
489,138618
490,138972
491,139319
492,139660
493,139979
494,140283
495,140588
496,140901
497,141224
498,141560
499,141897
500,142249
501,142605
502,142944
503,143279
504,143627
505,143997
506,144365
507,144702
508,145045
509,145403
510,145745
511,146093
512,146444
513,146801
514,147166
515,147499
516,147822
517,148145
518,148476
519,148828
520,149153
521,149472
522,149798
523,150125
524,150458
525,150778
526,151098
527,151432
528,151779
529,152125
530,152446
531,152766
532,153094
533,153402
534,153738
535,154096
536,154461
537,154835
538,155158
539,155484
540,155812
541,156136
542,156437
543,156729
544,157037
545,157358
546,157685
547,158020
548,158372
549,158713
550,159055
551,159359
552,159661
553,159966
554,160289
555,160612
556,160934
557,161230
558,161515
559,161794
560,162084
561,162398
562,162705
563,163031
564,163363
565,163697
566,163993
567,164281
568,164566
569,164846
570,165132
571,165434
572,165758
573,166088
574,166398
575,166718
576,167038
577,167345
578,167650
579,167957
580,168268
581,168588
582,168914
583,169214
584,169520
585,169834
586,170164
587,170487
588,170792
589,171094
590,171408
591,171736
592,172068
593,172388
594,172713
595,173045
596,173393
597,173736
598,174065
599,174388
600,174701
601,175001
602,175308
603,175631
604,175963
605,176305
606,176664
607,177025
608,177353
609,177657
610,177969
611,178293
612,178643
613,178985
614,179325
615,179639
616,179965
617,180275
618,180599
619,180919
620,181257
621,181604
622,181922
623,182242
624,182566
625,182896
626,183241
627,183579
628,183921
629,184249
630,184575
631,184907
632,185217
633,185517
634,185801
635,186077
636,186376
637,186690
638,187019
639,187350
640,187695
641,188007
642,188328
643,188658
644,188971
645,189282
646,189598
647,189928
648,190257
649,190589
650,190932
651,191248
652,191576
653,191914
654,192257
655,192604
656,192933
657,193263
658,193600
659,193929
660,194273
661,194604
662,194931
663,195265
664,195604
665,195953
666,196307
667,196634
668,196959
669,197292
670,197626
671,197948
672,198273
673,198600
674,198909
675,199216
676,199530
677,199831
678,200145
679,200467
680,200803
681,201114
682,201435
683,201757
684,202068
685,202378
686,202701
687,203030
688,203360
689,203673
690,203983
691,204288
692,204578
693,204858
694,205117
695,205367
696,205614
697,205865
698,206113
699,206355
700,206617
701,206944
702,207291
703,207631
704,207987
705,208337
706,208669
707,209001
708,209329
709,209643
710,209957
711,210279
712,210615
713,210952
714,211293
715,211621
716,211949
717,212278
718,212616
719,212939
720,213262
721,213572
722,213867
723,214147
724,214426
725,214727
726,215062
727,215403
728,215752
729,216078
730,216399
731,216716
732,217051
733,217393
734,217730
735,218062
736,218395
737,218724
738,219054
739,219383
740,219714
741,220043
742,220375
743,220693
744,221018
745,221345
746,221653
747,221954
748,222267
749,222591
750,222918
751,223228
752,223544
753,223855
754,224174
755,224489
756,224796
757,225111
758,225426
759,225742
760,226065
761,226390
762,226709
763,227042
764,227366
765,227701
766,228035
767,228363
768,228679
769,229009
770,229338
771,229659
772,229977
773,230302
774,230633
775,230956
776,231249
777,231539
778,231827
779,232148
780,232484
781,232805
782,233120
783,233440
784,233757
785,234069
786,234375
787,234687
788,235012
789,235350
790,235686
791,236022
792,236360
793,236692
794,237006
795,237323
796,237648
797,237967
798,238282
799,238625
800,238969
801,239292
802,239610
803,239941
804,240252
805,240555
806,240864
807,241179
808,241504
809,241827
810,242135
811,242442
812,242754
813,243071
814,243376
815,243673
816,243979
817,244279
818,244570
819,244863
820,245171
821,245481
822,245797
823,246113
824,246424
825,246716
826,247012
827,247310
828,247602
829,247900
830,248224
831,248567
832,248897
833,249219
834,249566
835,249906
836,250238
837,250571
838,250883
839,251193
840,251522
841,251868
842,252209
843,252558
844,252911
845,253239
846,253558
847,253873
848,254177
849,254480
850,254789
851,255103
852,255424
853,255746
854,256068
855,256376
856,256691
857,257010
858,257326
859,257624
860,257930
861,258247
862,258547
863,258852
864,259166
865,259489
866,259819
867,260130
868,260426
869,260717
870,260999
871,261309
872,261641
873,261960
874,262263
875,262576
876,262890
877,263204
878,263522
879,263831
880,264144
881,264441
882,264737
883,265040
884,265350
885,265660
886,265976
887,266259
888,266546
889,266838
890,267125
891,267411
892,267696
893,267984
894,268279
895,268587
896,268895
897,269210
898,269505
899,269808
900,270107
901,270399
902,270694
903,271001
904,271327
905,271662
906,272001
907,272342
908,272675
909,272983
910,273281
911,273582
912,273887
913,274214
914,274550
915,274883
916,275212
917,275530
918,275847
919,276160
920,276459
921,276758
922,277065
923,277383
924,277716
925,278040
926,278367
927,278688
928,279012
929,279313
930,279617
931,279933
932,280251
933,280569
934,280885
935,281208
936,281530
937,281847
938,282159
939,282478
940,282807
941,283138
942,283437
943,283741
944,284052
945,284386
946,284706
947,285015
948,285332
949,285651
950,285979
951,286306
952,286605
953,286898
954,287184
955,287494
956,287807
957,288134
958,288472
959,288786
960,289107
961,289440
962,289768
963,290083
964,290398
965,290722
966,291052
967,291373
968,291687
969,291977
970,292256
971,292544
972,292850
973,293169
974,293500
975,293819
976,294138
977,294454
978,294773
979,295099
980,295434
981,295771
982,296088
983,296388
984,296677
985,296986
986,297309
987,297631
988,297928
989,298212
990,298493
991,298776
992,299073
993,299361
994,299651
995,299957
996,300266
997,300583
998,300888
999,301199
1000,301511
1001,301800
1002,302088
1003,302383
1004,302689
1005,303002
1006,303316
1007,303619
1008,303927
1009,304226
1010,304528
1011,304837
1012,305137
1013,305422
1014,305704
1015,305993
1016,306293
1017,306586
1018,306897
1019,307230
1020,307537
1021,307841
1022,308152
1023,308466
1024,308770
1025,309056
1026,309329
1027,309603
1028,309875
1029,310166
1030,310479
1031,310804
1032,311130
1033,311471
1034,311811
1035,312148
1036,312476
1037,312778
1038,313080
1039,313386
1040,313688
1041,314000
1042,314327
1043,314659
1044,314995
1045,315315
1046,315639
1047,315965
1048,316253
1049,316536
1050,316829
1051,317126
1052,317429
1053,317746
1054,318068
1055,318377
1056,318699
1057,319021
1058,319334
1059,319628
1060,319927
1061,320243
1062,320554
1063,320869
1064,321172
1065,321461
1066,321743
1067,322029
1068,322323
1069,322609
1070,322900
1071,323201
1072,323521
1073,323856
1074,324185
1075,324524
1076,324856
1077,325192
1078,325523
1079,325837
1080,326140
1081,326443
1082,326749
1083,327056
1084,327372
1085,327676
1086,327988
1087,328300
1088,328615
1089,328930
1090,329223
1091,329510
1092,329805
1093,330106
1094,330418
1095,330739
1096,331050
1097,331364
1098,331688
1099,332007
1100,332335
1101,332668
1102,333003
1103,333346
1104,333684
1105,334019
1106,334344
1107,334656
1108,334970
1109,335294
1110,335626
1111,335960
1112,336306
1113,336641
1114,336959
1115,337261
1116,337559
1117,337847
1118,338148
1119,338472
1120,338801
1121,339126
1122,339459
1123,339798
1124,340136
1125,340462
1126,340790
1127,341107
1128,341425
1129,341740
1130,342036
1131,342314
1132,342592
1133,342882
1134,343182
1135,343510
1136,343839
1137,344159
1138,344479
1139,344814
1140,345148
1141,345472
1142,345787
1143,346088
1144,346382
1145,346664
1146,346940
1147,347226
1148,347536
1149,347866
1150,348188
1151,348512
1152,348822
1153,349130
1154,349447
