,PVC
0,625
1,3841
2,6531
3,11072
4,12506
5,16998
6,19102
7,25528
8,35223
9,35373
10,44607
11,44747
12,45208
13,45671
14,46428
15,46848
16,47584
17,48301
18,48520
19,49677
20,72063
21,72234
22,74591
23,80585
24,84045
25,86743
26,92559
27,93384
28,100728
29,106529
30,108309
31,115925
32,119676
33,129010
34,151617
35,151748
36,151936
37,152055
38,152196
39,152338
40,152741
41,162842
42,163975
43,170222
44,170603
45,176723
46,185120
47,185622
48,194096
49,198437
50,201041
51,202159
52,216161
53,216785
54,217547
55,218274
56,218413
57,219533
58,222947
59,231530
60,236095
61,242242
62,246000
63,248372
64,262281
65,262691
66,273691
67,277725
68,280020
69,280503
70,285767
71,287206
72,287385
73,288514
74,288623
75,288924
76,289052
77,297902
78,298965
79,299130
80,306118
81,316018
82,316397
83,333568
84,334950
85,337063
86,339479
87,340479
88,346674
89,349899
90,350378
91,366218
92,366710
93,367203
94,367814
95,368237
96,368938
97,369424
98,369893
99,377245
100,377944
101,378278
102,387689
103,388393
104,389350
105,389865
106,390011
107,390238
108,390493
109,390598
110,390790
111,391243
112,391773
113,392818
114,393320
115,393891
116,395434
117,397105
118,397530
119,397989
120,398467
121,398678
122,399168
123,399289
124,399852
125,400396
126,401713
127,411472
128,418555
129,425717
130,426195
131,426533
132,435090
133,436416
134,440488
135,445361
136,446299
137,454685
138,455753
139,460237
140,461913
141,462688
142,467843
143,480400
144,483107
145,483579
146,492786
147,493184
148,496792
149,497975
150,506964
151,512312
152,515565
153,524839
154,545019
155,549627
156,550753
157,552204
158,567997
159,572035
160,579654
161,583280
162,584726
163,589033
164,596998
165,597409
166,597881
167,598744
168,599166
169,599860
170,602258
171,603335
172,608531
173,609033
174,615288
175,623913
176,628457
177,631175
178,632362
179,632856
180,633628
181,634294
182,635596
183,637057
184,637580
185,639084
186,642011
187,643032
188,643562
189,644572
190,644997
191,647672
192,648469
193,649513
