,R
0,159
1,415
2,686
3,905
4,1189
5,1422
6,1621
7,1965
8,2236
9,2495
10,2721
11,2955
12,3197
13,3470
14,3798
15,4109
16,4353
17,4591
18,4847
19,4989
20,5220
21,5477
22,5688
23,5919
24,6102
25,6391
26,6636
27,6836
28,7069
29,7323
30,7614
31,7819
32,8071
33,8303
34,8514
35,8667
36,8922
37,9116
38,9349
39,9642
40,10008
41,10267
42,10521
43,10771
44,11043
45,11300
46,11474
47,11800
48,12007
49,12252
50,12454
51,12690
52,12928
53,13222
54,13550
55,13800
56,14021
57,14349
58,14615
59,14866
60,15014
61,15241
62,15470
63,15692
64,15895
65,16151
66,16407
67,16569
68,16813
69,17042
70,17271
71,17425
72,17775
73,17958
74,18261
75,18428
76,18681
77,18924
78,19075
79,19300
80,19591
81,19825
82,20050
83,20271
84,20584
85,20907
86,21167
87,21406
88,21561
89,21744
90,21963
91,22296
92,22597
93,22754
94,22914
95,23153
96,23502
97,23658
98,23872
99,24191
100,24396
101,24641
102,24871
103,25118
104,25360
105,25623
106,25857
107,26138
108,26362
109,26610
110,26803
111,27042
112,27257
113,27443
114,27598
115,27878
116,28128
117,28377
118,28617
119,28915
120,29153
121,29443
122,29712
123,29939
124,30171
125,30314
126,30577
127,30780
128,31022
129,31305
130,31720
131,32030
132,32257
133,32429
134,32628
135,32861
136,33177
137,33362
138,33648
139,33894
140,34202
141,34351
142,34624
143,34871
144,35019
145,35221
146,35375
147,35622
148,35921
149,36255
150,36489
151,36684
152,37033
153,37199
154,37340
155,37584
156,37824
157,38074
158,38318
159,38583
160,38865
161,39162
162,39450
163,39783
164,40080
165,40305
166,40607
167,40811
168,41040
169,41260
170,41522
171,41695
172,41925
173,42168
174,42415
175,42564
176,42700
177,43022
178,43242
179,43473
180,43616
181,43934
182,44333
183,44649
184,44920
185,45201
186,45408
187,45594
188,45770
189,45986
190,46198
191,46460
192,46752
193,47002
194,47284
195,47500
196,47749
197,47953
198,48197
199,48416
200,48665
201,48918
202,49137
203,49376
204,49559
205,49705
206,50081
207,50332
208,50640
209,50929
210,51250
211,51501
212,51685
213,51913
214,52141
215,52405
216,52666
217,52911
218,53237
219,53451
220,53620
221,53846
222,54085
223,54409
224,54658
225,54885
226,55111
227,55261
228,55519
229,55680
230,56045
231,56246
232,56447
233,56690
234,56952
235,57163
236,57321
237,57732
238,58034
239,58261
240,58447
241,58578
242,58809
243,59083
244,59332
245,59593
246,59848
247,60079
248,60338
249,60587
250,60896
251,61145
252,61395
253,61628
254,61858
255,62073
256,62314
257,62465
258,62702
259,62922
260,63166
261,63346
262,63616
263,63829
264,64084
265,64308
266,64521
267,64689
268,64927
269,65120
270,65335
271,65634
272,65949
273,66197
274,66634
275,66808
276,67039
277,67252
278,67523
279,67772
280,68008
281,68298
282,68571
