,R
0,42
1,320
2,511
3,749
4,964
5,1107
6,1383
7,1574
8,1819
9,2035
10,2173
11,2449
12,2671
13,2884
14,3013
15,3307
16,3521
17,3729
18,3943
19,4160
20,4375
21,4521
22,4796
23,4954
24,5218
25,5439
26,5765
27,6044
28,6253
29,6464
30,6680
31,6891
32,7100
33,7310
34,7710
35,7925
36,8071
37,8346
38,8557
39,8766
40,8917
41,9190
42,9400
43,9604
44,9813
45,9983
46,10223
47,10354
48,10648
49,10829
50,11057
51,11268
52,11415
53,11692
54,11882
55,12107
56,12314
57,12462
58,12735
59,12931
60,13155
61,13363
62,13564
63,13742
64,13980
65,14186
66,14332
67,14591
68,14790
69,14999
70,15205
71,15412
72,15598
73,15717
74,16022
75,16169
76,16442
77,16647
78,16851
79,17052
80,17255
81,17397
82,17665
83,17874
84,18076
85,18221
86,18479
87,18686
88,18896
89,19099
90,19303
91,19443
92,19706
93,19910
94,20119
95,20290
96,20525
97,20732
98,20873
99,21140
100,21351
101,21555
102,21762
103,21965
104,22170
105,22304
106,22579
107,22769
108,22991
109,23196
110,23333
111,23602
112,23754
113,24014
114,24219
115,24425
116,24632
117,24832
118,24994
119,25248
120,25453
121,25596
122,25856
123,26050
124,26280
125,26488
126,26632
127,26896
128,27103
129,27308
130,27462
131,27728
132,27934
133,28134
134,28295
135,28543
136,28755
137,28900
138,29156
139,29317
140,29430
141,29733
142,29944
143,30152
144,30357
145,30560
146,30761
147,30967
148,31178
149,31380
150,31582
151,31783
152,31909
153,32186
154,32389
155,32588
156,32791
157,32991
158,33120
159,33388
160,33596
161,33796
162,33937
163,34195
164,34394
165,34598
166,34801
167,35003
168,35145
169,35406
170,35605
171,35805
172,36008
173,36211
174,36412
175,36605
176,36740
177,37004
178,37203
179,37402
180,37606
181,37800
182,37999
183,38196
184,38398
185,38601
186,38803
187,39003
188,39204
189,39406
190,39604
191,39809
192,39956
193,40214
194,40420
195,40620
196,40829
197,41037
198,41240
199,41443
200,41645
201,41855
202,42057
203,42269
204,42481
205,42618
206,42893
207,43075
208,43315
209,43526
210,43669
211,43931
212,44125
213,44351
214,44557
215,44689
216,44981
217,45107
218,45391
219,45532
220,45822
221,45988
222,46246
223,46451
224,46594
225,46858
226,47261
227,47477
228,47627
229,47891
230,48080
231,48313
232,48463
233,48725
234,48863
235,49136
236,49344
237,49555
238,49716
239,49969
240,50180
241,50318
242,50592
243,50721
244,51019
245,51171
246,51436
247,51601
248,51860
249,52077
250,52212
251,52498
252,52642
253,52919
254,53071
255,53349
256,53514
257,53650
258,53968
259,54117
260,54394
261,54611
262,54756
263,55032
264,55178
265,55459
266,55679
267,55823
268,56098
269,56248
270,56525
271,56673
272,56925
273,57145
274,57294
275,57561
276,57755
277,57990
278,58207
279,58345
280,58624
281,58771
282,59054
283,59202
284,59480
285,59649
286,59909
287,60119
288,60265
289,60554
290,60892
291,61190
292,61403
