,PVC
0,8490
1,22251
2,26305
3,42841
4,42994
5,43620
6,44586
7,45424
8,46216
9,46995
10,47760
11,48561
12,49364
13,49943
14,50165
15,59061
16,67740
17,101044
18,111438
19,154491
20,202916
21,207789
22,208252
23,208445
24,208700
25,208882
26,209134
27,209331
28,209586
29,209775
30,210015
31,210202
32,210433
33,210628
34,210868
35,211059
36,211284
37,211467
38,211707
39,211901
40,212130
41,212322
42,212537
43,212718
44,212934
45,213125
46,213347
47,213536
48,213744
49,213932
50,214144
51,214342
52,214546
53,214740
54,214940
55,215125
56,215316
57,215506
58,215711
59,215905
60,216115
61,216304
62,216494
63,216692
64,216907
65,217090
66,217281
67,217469
68,217674
69,217860
70,218063
71,218262
72,218451
73,218642
74,218847
75,219038
76,219262
77,219449
78,219653
79,219842
80,220034
81,220226
82,220437
83,220627
84,220832
85,221026
86,221203
87,221391
88,221630
89,221816
90,222020
91,222209
92,222400
93,222589
94,222803
95,222993
96,223198
97,223380
98,223588
99,223778
100,223987
101,224176
102,224387
103,224568
104,224768
105,224962
106,225179
107,225364
108,225599
109,225790
110,225997
111,226184
112,226407
113,226599
114,226830
115,227015
116,227229
117,227411
118,227765
119,239974
120,262530
121,262814
122,263797
123,264290
124,264773
125,265272
126,265755
127,266231
128,266711
129,267147
130,267673
131,268173
132,268653
133,269138
134,269353
135,269518
136,270000
137,270541
138,271038
139,271534
140,272026
141,272508
142,285121
143,285370
144,296055
145,298525
146,299049
147,301567
148,302066
149,303044
150,304011
151,308018
152,308522
153,319019
154,319288
155,323250
156,323522
157,334946
158,335466
159,335984
160,336486
161,336988
162,337500
163,338000
164,338512
165,339011
166,339508
167,352664
168,364283
169,364843
170,365119
171,365334
172,365881
173,366395
174,366842
175,367200
176,368468
177,370200
178,371431
179,373394
180,374153
181,374918
182,375669
183,375852
184,376084
185,376253
186,376472
187,376635
188,376860
189,377037
190,377259
191,377429
192,377657
193,377823
194,378046
195,378222
196,378451
197,378625
198,378851
199,379012
200,379252
201,379426
202,379658
203,379828
204,380042
205,380213
206,380458
207,380619
208,380862
209,381039
210,381268
211,381434
212,381675
213,381847
214,382088
215,382256
216,382472
217,382641
218,382882
219,383044
220,383288
221,383461
222,383696
223,383866
224,384111
225,384281
226,384538
227,384708
228,384949
229,385116
230,385376
231,385545
232,385817
233,385986
234,386247
235,386415
236,386675
237,386855
238,387098
239,387269
240,387516
241,387683
242,387951
243,388127
244,388404
245,388572
246,388858
247,389032
248,389421
249,397732
250,404979
251,405473
252,405751
253,414676
254,414953
255,424904
256,425166
257,465425
258,465907
259,466446
260,466962
261,467465
262,467973
263,468480
264,468985
265,469492
266,469999
267,470507
268,471008
269,471513
270,471997
271,472493
272,472992
273,473482
274,473986
275,474440
276,474976
277,475497
278,475995
279,476500
280,476986
281,477487
282,477986
283,478480
284,478982
285,479473
286,479976
287,480477
288,480974
289,481478
290,481960
291,482464
292,483466
293,483977
294,484458
295,485398
296,485908
297,486427
298,486918
299,487428
300,487932
301,488437
302,488951
303,489445
304,489947
305,490449
306,490956
307,491464
308,491961
309,492477
310,492969
311,493495
312,493991
313,494481
314,494994
315,495491
316,496006
317,496493
318,496989
319,497475
320,497960
321,498458
322,498933
323,499430
324,499899
325,500414
326,500933
327,501421
328,501923
329,502407
330,502904
331,503391
332,503883
333,504358
334,504849
335,505336
336,505821
337,506316
338,506797
339,507291
340,507788
341,508272
342,508771
343,509275
344,509773
345,510271
346,510748
347,511242
348,511749
349,512239
350,512745
351,513234
352,513737
353,514257
354,514755
355,515269
356,515760
357,516264
358,516776
359,517262
360,517776
361,518262
362,518772
363,519278
364,519583
365,519767
366,520287
367,520780
368,521280
369,522047
370,536156
371,536410
372,536963
373,537257
374,538915
375,539205
376,543420
377,545556
378,545806
379,546602
380,547359
381,549345
382,550066
383,550793
384,551280
385,551533
386,552087
387,552370
388,555198
389,555954
390,556704
391,557230
392,557513
393,558080
394,558527
395,558716
396,558951
397,559126
398,559345
399,560279
400,561102
401,561887
402,562670
403,563414
404,564156
405,564891
406,576580
407,577089
408,577351
409,587393
410,587660
411,591091
412,591360
413,595042
414,595285
415,595825
416,596132
417,596304
418,596825
419,597342
420,597834
421,598322
422,598829
423,599314
424,599825
425,600331
426,600825
427,601330
428,601819
429,602329
430,602824
431,603319
432,603818
433,604305
434,604805
435,605289
436,605774
437,606272
438,606749
439,607251
440,607739
441,608233
442,608740
443,609233
444,609727
445,610218
446,610716
447,611209
448,611714
449,612196
450,612690
451,613197
452,613681
453,614182
454,614664
455,615148
456,615639
457,616123
458,616627
459,620352
460,627376
461,627622
462,628158
463,628447
464,633372
465,633625
466,634907
467,635160
468,645738
469,646211
470,646454
471,646985
472,647278
