,R
0,57
1,250
2,471
3,625
4,866
5,1081
6,1298
7,1586
8,1818
9,2028
10,2249
11,2508
12,2749
13,2987
14,3246
15,3464
16,3674
17,3841
18,4151
19,4381
20,4595
21,4825
22,5124
23,5363
24,5631
25,5828
26,6092
27,6364
28,6531
29,6740
30,6947
31,7187
32,7414
33,7617
34,7842
35,8399
36,8669
37,8876
38,9103
39,9415
40,9678
41,9899
42,10247
43,10498
44,10750
45,10952
46,11072
47,11427
48,11670
49,11923
50,12167
51,12376
52,12506
53,12789
54,13016
55,13201
56,13452
57,13723
58,13977
59,14197
60,14449
61,14667
62,14954
63,15184
64,15413
65,15642
66,15874
67,16125
68,16352
69,16606
70,16845
71,16998
72,17259
73,17521
74,17787
75,18054
76,18257
77,18513
78,18747
79,18977
80,19102
81,19355
82,19555
83,19767
84,20034
85,20274
86,20510
87,20692
88,21047
89,21246
90,21444
91,21638
92,21840
93,22083
94,22356
95,22618
96,22876
97,23184
98,23438
99,23691
100,23939
101,24193
102,24431
103,24700
104,24968
105,25192
106,25390
107,25528
108,25846
109,26103
110,26308
111,26514
112,26779
113,27111
114,27365
115,27579
116,27826
117,28099
118,28332
119,28619
120,28886
121,29135
122,29413
123,29661
124,29909
125,30205
126,30448
127,30683
128,30955
129,31150
130,31423
131,31636
132,31916
133,32151
134,32340
135,32552
136,32805
137,33083
138,33338
139,33605
140,33870
141,34130
142,34379
143,34606
144,34800
145,35070
146,35223
147,35373
148,35695
149,35914
150,36166
151,36419
152,36644
153,36888
154,37120
155,37329
156,37611
157,37875
158,38133
159,38369
160,38602
161,38851
162,39066
163,39341
164,39556
165,39836
166,40111
167,40328
168,40537
169,40777
170,41046
171,41300
172,41565
173,41816
174,42048
175,42288
176,42488
177,42680
178,42918
179,43115
180,43345
181,43549
182,43799
183,44132
184,44371
185,44607
186,44747
187,45051
188,45208
189,45513
190,45671
191,45981
192,46235
193,46428
194,46666
195,46848
196,47111
197,47356
198,47584
199,47827
200,48100
201,48301
202,48520
203,48836
204,49088
205,49315
206,49517
207,49677
208,49996
209,50288
210,50559
211,50811
212,51058
213,51323
214,51521
215,51813
216,52084
217,52368
218,52612
219,52919
220,53168
221,53420
222,53665
223,53964
224,54245
225,54552
226,54781
227,54998
228,55233
229,55543
230,55795
231,56059
232,56310
233,56598
234,56871
235,57127
236,57371
237,57599
238,57852
239,58092
240,58361
241,58572
242,58838
243,59066
244,59401
245,59609
246,59879
247,60118
248,60360
249,60565
250,60763
251,61017
252,61272
253,61526
254,61791
255,62019
256,62251
257,62474
258,62710
259,62978
260,63209
261,63477
262,63716
263,63945
264,64218
265,64468
266,64769
267,64991
268,65238
269,65520
270,65808
271,66039
272,66302
273,66624
274,66822
275,67079
276,67331
277,67572
278,67838
279,68118
280,68361
281,68564
282,68821
283,69079
284,69303
285,69525
286,69750
287,70016
288,70290
289,70535
290,70792
291,71026
292,71282
293,71506
294,71728
295,71935
296,72063
297,72234
298,72567
299,72792
300,73016
301,73224
302,73463
303,73712
304,73993
305,74250
306,74469
307,74591
308,74829
309,75070
310,75275
311,75478
312,75955
313,76223
314,76448
315,76686
316,76898
317,77151
318,77349
319,77540
320,77797
321,78035
322,78277
323,78521
324,78766
325,78987
326,79166
327,79476
328,79718
329,79957
330,80212
331,80461
332,80585
333,80902
334,81184
335,81386
336,81644
337,81875
338,82098
339,82390
340,82666
341,82919
342,83132
343,83394
344,83665
345,83915
346,84045
347,84319
348,84523
349,84787
350,85059
351,85323
352,85575
353,85815
354,86076
355,86313
356,86537
357,86743
358,87128
359,87401
360,87677
361,87887
362,88148
363,88393
364,88634
365,88856
366,89073
367,89314
368,89598
369,89897
370,90162
371,90367
372,90589
373,90856
374,91120
375,91361
376,91586
377,91836
378,92138
379,92402
380,92559
381,92812
382,93011
383,93258
384,93384
385,93666
386,93921
387,94185
388,94477
389,94707
390,95048
391,95280
392,95575
393,95839
394,96097
395,96396
396,96621
397,97092
398,97338
399,97577
400,97832
401,98078
402,98385
403,98563
404,98789
405,99069
406,99317
407,99571
408,99830
409,100035
410,100268
411,100555
412,100728
413,100975
414,101238
415,101457
416,101657
417,101908
418,102140
419,102382
420,102645
421,102918
422,103166
423,103441
424,103652
425,103886
426,104138
427,104425
428,104724
429,104956
430,105187
431,105424
432,105704
433,105949
434,106156
435,106382
436,106529
437,106821
438,107088
439,107313
440,107522
441,107733
442,107979
443,108192
444,108309
445,108653
446,108836
447,109059
448,109301
449,109544
450,109765
451,110003
452,110254
453,110508
454,110766
455,110994
456,111260
457,111532
458,111764
459,111998
460,112267
461,112495
462,112703
463,112952
464,113163
465,113372
466,113611
467,113922
468,114182
469,114392
470,114589
471,114767
472,115061
473,115328
474,115560
475,115795
476,115925
477,116225
478,116466
479,116699
480,116908
481,117162
482,117509
483,117760
484,117990
485,118307
486,118542
487,118788
488,119017
489,119265
490,119498
491,119676
492,119978
493,120184
494,120411
495,120750
496,121055
497,121308
498,121558
499,121834
500,122081
501,122363
502,122593
503,122836
504,123070
505,123290
506,123511
507,123819
508,124052
509,124293
510,124527
511,124824
512,125095
513,125309
514,125572
515,125825
516,126121
517,126398
518,126638
519,126887
520,127162
521,127409
522,127644
523,127874
524,128134
525,128420
526,128620
527,128869
528,129010
529,129306
530,129521
531,129755
532,130015
533,130275
534,130550
535,130820
536,131147
537,131502
538,131754
539,132012
540,132273
541,132535
542,132806
543,133046
544,133337
545,133632
546,133888
547,134089
548,134380
549,134642
550,134895
551,135169
552,135400
553,135644
554,135852
555,136092
556,136334
557,136663
558,136904
559,137188
560,137436
561,137680
562,137925
563,138152
564,138411
565,138664
566,138929
567,139284
568,139527
569,139777
570,140030
571,140249
572,140545
573,140829
574,141105
575,141358
576,141649
577,141919
578,142194
579,142385
580,142613
581,142865
582,143103
583,143390
584,143666
585,143937
586,144200
587,144447
588,144671
589,144918
590,145128
591,145415
592,145706
593,145938
594,146194
595,146403
596,146622
597,146836
598,147037
599,147245
600,147572
601,147831
602,148101
603,148335
604,148547
605,148781
606,149015
607,149235
608,149558
609,149827
610,150049
611,150315
612,150572
613,150820
614,151031
615,151246
616,151456
617,151617
618,151748
619,151936
620,152055
621,152196
622,152338
623,152603
624,152741
625,153060
626,153293
627,153497
628,153755
629,154044
630,154311
631,154552
632,154775
633,155024
634,155396
635,155637
636,155904
637,156158
638,156444
639,156699
640,156936
641,157176
642,157397
643,157608
644,157821
645,158036
646,158308
647,158548
648,158948
649,159209
650,159476
651,159734
652,159935
653,160177
654,160439
655,160722
656,160980
657,161212
658,161477
659,161701
660,161933
661,162165
662,162438
663,162699
664,162842
665,163127
666,163360
667,163594
668,163849
669,163975
670,164221
671,164446
672,164741
673,165015
674,165281
675,165494
676,165694
677,165928
678,166189
679,166469
680,166685
681,166883
682,167127
683,167377
684,167624
685,167894
686,168196
687,168444
688,168685
689,168952
690,169218
691,169450
692,169714
693,170053
694,170222
695,170471
696,170603
697,170855
698,171117
699,171380
700,171592
701,171828
702,172098
703,172359
704,172571
705,172816
706,173041
707,173291
708,173594
709,173844
710,174187
711,174590
712,174841
713,175108
714,175371
715,175604
716,175906
717,176168
718,176404
719,176603
720,176723
721,176963
722,177145
723,177400
724,177703
725,177983
726,178232
727,178492
728,178747
729,178935
730,179273
731,179499
732,179936
733,180189
734,180452
735,180680
736,180965
737,181213
738,181441
739,181642
740,181865
741,182159
742,182453
743,182748
744,182982
745,183195
746,183433
747,183683
748,183947
749,184223
750,184451
751,184719
752,184966
753,185120
754,185459
755,185622
756,185887
757,186185
758,186469
759,186727
760,186973
761,187199
762,187405
763,187644
764,187890
765,188127
766,188384
767,188675
768,188912
769,189195
770,189454
771,189677
772,189969
773,190209
774,190430
775,190678
776,190940
777,191206
778,191491
779,191764
780,192036
781,192276
782,192503
783,192780
784,193066
785,193300
786,193546
787,193764
788,193977
789,194096
790,194427
791,194930
792,195172
793,195398
794,195658
795,195920
796,196137
797,196334
798,196588
799,196845
800,197103
801,197375
802,197603
803,198077
804,198291
805,198437
806,198735
807,198956
808,199206
809,199444
810,199709
811,199940
812,200202
813,200446
814,200692
815,200919
816,201041
817,201288
818,201524
819,201795
820,202037
821,202159
822,202482
823,202699
824,202926
825,203174
826,203397
827,203667
828,203946
829,204186
830,204397
831,204623
832,204873
833,205137
834,205357
835,205578
836,205802
837,206066
838,206318
839,206572
840,206787
841,207030
842,207234
843,207472
844,207788
845,208061
846,208325
847,208598
848,208875
849,209118
850,209339
851,209588
852,209844
853,210171
854,210420
855,210677
856,210948
857,211204
858,211439
859,211782
860,212029
861,212252
862,212502
863,212795
864,213153
865,213465
866,213741
867,214000
868,214221
869,214480
870,214793
871,215058
872,215288
873,215486
874,215717
875,216022
876,216161
877,216416
878,216657
879,216785
880,217080
881,217294
882,217547
883,217846
884,218046
885,218274
886,218413
887,218666
888,218922
889,219162
890,219414
891,219533
892,219871
893,220086
894,220278
895,220445
896,220676
897,220959
898,221237
899,221517
900,221786
901,221994
902,222251
903,222451
904,222665
905,222947
906,223259
907,223512
908,223759
