,PVC
0,603
1,1430
2,2520
3,5537
4,6512
5,7689
6,10816
7,11852
8,13205
9,14967
10,19266
11,20294
12,22399
13,25381
14,26342
15,27311
16,28567
17,30121
18,32613
19,33431
20,34677
21,36391
22,37403
23,39718
24,40683
25,41951
26,42827
27,44509
28,45295
29,46315
30,47560
31,48304
32,49335
33,50228
34,51545
35,52302
36,55277
37,58019
38,58969
39,61096
40,61411
41,61896
42,62801
43,64012
44,64925
45,65890
46,67207
47,68212
48,71358
49,72757
50,73763
51,75063
52,76759
53,77849
54,78734
55,80116
56,81370
57,82209
58,83412
59,84717
60,85730
61,86671
62,87749
63,88758
64,89342
65,92678
66,93591
67,94646
68,96364
69,97667
70,98871
71,100302
72,101062
73,102291
74,103052
75,104054
76,104817
77,105678
78,106944
79,107891
80,108649
81,110216
82,111810
83,112617
84,113560
85,116338
86,118119
87,119866
88,121242
89,126084
90,127291
91,128494
92,130734
93,131546
94,133057
95,134402
96,135855
97,136778
98,137739
99,138514
100,140975
101,142113
102,143326
103,144527
104,145247
105,146032
106,147751
107,149426
108,150193
109,151263
110,152333
111,153135
112,154268
113,156296
114,157588
115,160878
116,161954
117,162826
118,164082
119,164843
120,166088
121,167113
122,168909
123,169841
124,172152
125,174062
126,174903
127,178201
128,179984
129,181014
130,182317
131,183134
132,185561
133,186671
134,187443
135,188644
136,189588
137,190527
138,191258
139,192304
140,193885
141,195567
142,196522
143,197294
144,198059
145,199858
146,200867
147,201609
148,202952
149,203828
150,205325
151,206043
152,207088
153,207980
154,209045
155,209770
156,211533
157,212519
158,213428
159,214245
160,216049
161,217167
162,218224
163,219881
164,221268
165,222524
166,223434
167,224947
168,231088
169,231822
170,233378
171,234309
172,236250
173,237038
174,238380
175,239376
176,241000
177,241806
178,242915
179,243694
180,245346
181,246278
182,247806
183,248551
184,249320
185,250642
186,251763
187,253391
188,254179
189,254915
190,256292
191,257066
192,258923
193,260295
194,261243
195,261944
196,262738
197,263729
198,264799
199,265966
200,269393
201,270329
202,271233
203,273063
204,273540
205,273979
206,276475
207,277873
208,280969
209,282581
210,282796
211,282930
212,284163
213,287036
214,288663
215,289579
216,291442
217,291907
218,293634
219,294997
220,296536
221,299496
222,300410
223,301134
224,302203
225,303093
226,303257
227,303431
228,305668
229,307188
230,308872
231,311583
232,312518
233,313471
234,314371
235,316418
236,317434
237,319119
238,321629
239,323342
240,324138
241,325969
242,326718
243,328045
244,330806
245,331540
246,332708
247,334472
248,337923
249,339142
250,341331
251,342971
252,344251
253,345149
254,348107
255,349040
256,349785
257,350540
258,353980
259,354919
260,356401
261,357283
262,359201
263,359920
264,360938
265,362352
266,363639
267,364836
268,365557
269,366347
270,367381
271,368096
272,368552
273,369699
274,370649
275,371474
276,372706
277,373534
278,375176
279,376568
280,377745
281,379092
282,380036
283,380945
284,381959
285,383519
286,385368
287,386436
288,386778
289,387185
290,389151
291,390125
292,391189
293,392169
294,394240
295,395473
296,398032
297,399600
298,400603
299,402833
300,404034
301,404781
302,405762
303,406779
304,408772
305,409712
306,410560
307,411539
308,412592
309,413372
310,416080
311,416617
312,420902
313,422174
314,423217
315,424382
316,425146
317,426140
318,427717
319,430899
320,431913
321,433385
322,436693
323,437170
324,438109
325,439894
326,441237
327,441947
328,442939
329,444741
330,445473
331,447821
332,449260
333,450045
334,450354
335,451346
336,452122
337,455364
338,456433
339,458023
340,459988
341,460748
342,462101
343,463028
344,464062
345,465003
346,468714
347,471046
348,472680
349,477565
350,481996
351,483480
352,488802
353,489925
354,490415
355,492728
356,496839
357,498866
358,503236
359,504868
360,506733
361,509760
362,510587
363,511623
364,512338
365,514813
366,519639
367,522050
368,526154
369,527829
370,528958
371,530794
372,534713
373,535501
374,540912
375,544328
376,550691
377,551608
378,554380
379,559957
380,561619
381,564301
382,566842
383,572979
384,583692
385,585231
386,586540
387,589044
388,591081
389,593260
390,600950
391,609891
392,615344
393,618965
394,623120
395,635087
