,R
0,209
1,483
2,853
3,1181
4,1378
5,1579
6,1860
7,2058
8,2242
9,2558
10,2747
11,2930
12,3201
13,3411
14,3606
15,3886
16,4262
17,4565
18,4944
19,5196
20,5568
21,5899
22,6105
23,6304
24,6579
25,6941
26,7169
27,7349
28,7750
29,7951
30,8147
31,8317
32,8532
33,8727
34,8922
35,9087
36,9294
37,9472
38,9649
39,9824
40,10035
41,10233
42,10423
43,10595
44,10791
45,10973
46,11155
47,11324
48,11526
49,11697
50,11888
51,12055
52,12273
53,12471
54,12680
55,12894
56,13099
57,13486
58,13673
59,13850
60,14046
61,14251
62,14449
63,14619
64,14845
65,15036
66,15218
67,15431
68,15628
69,16033
70,16241
71,16422
72,16677
73,16899
74,17088
75,17312
76,17515
77,17916
78,18110
79,18306
80,18519
81,18727
82,18930
83,19092
84,19333
85,19538
86,19725
87,19919
88,20105
89,20453
90,20721
91,21104
92,21359
93,21560
94,21728
95,21948
96,22148
97,22492
98,22738
99,22944
100,23128
101,23383
102,23590
103,23786
104,24002
105,24205
106,24395
107,24563
108,24855
109,25231
110,25513
111,25874
112,26121
113,26321
114,26502
115,26723
116,26916
117,27118
118,27397
119,27632
120,27844
121,28013
122,28314
123,28505
124,28670
125,28963
126,29344
127,29578
128,29780
129,29984
130,30190
131,30399
132,30598
133,30761
134,31063
135,31248
136,31439
137,31702
138,32076
139,32317
140,32516
141,32926
142,33130
143,33317
144,33522
145,33737
146,34123
147,34405
148,34772
149,35021
150,35223
151,35384
152,35632
153,35841
154,36024
155,36247
156,36451
157,36815
158,37044
159,37239
160,37430
161,37611
162,37810
163,38204
164,38534
165,38720
166,38892
167,39186
168,39550
169,39790
170,40007
171,40183
172,40510
173,40719
174,40899
175,41235
176,41416
177,41593
178,41904
179,42090
180,42282
181,42569
182,42940
183,43245
184,43441
185,43620
186,43908
187,44260
188,44538
189,44920
190,45226
191,45598
192,45855
193,46211
194,46490
195,46866
196,47147
197,47510
198,47769
199,47971
200,48130
201,48373
202,48577
203,48752
204,49020
205,49239
206,49412
207,49655
208,49864
209,50046
210,50322
211,50517
212,50676
213,51007
214,51204
215,51391
216,51708
217,51902
218,52083
219,52331
220,52681
221,52977
222,53372
223,53636
224,53835
225,54002
226,54259
227,54463
228,54634
229,54864
230,55083
231,55273
232,55569
233,55952
234,56266
235,56454
236,56628
237,56932
238,57300
239,57553
240,57933
241,58230
242,58608
243,58877
244,59222
245,59504
246,59883
247,60149
248,60352
249,60519
250,60763
251,60971
252,61159
253,61405
254,61619
255,61785
256,62097
257,62321
258,62481
259,62749
260,62953
261,63116
262,63364
263,63562
264,63750
265,63980
266,64191
267,64562
268,64854
269,65216
270,65449
271,65634
272,66017
273,66218
274,66419
275,66589
276,66792
277,66976
278,67331
279,67560
280,67747
