,PVC
0,6299
1,6823
2,7415
3,8026
4,8582
5,9130
6,9710
7,10306
8,10844
9,11392
10,11992
11,18690
12,19903
13,20157
14,22860
15,24076
16,24678
17,29871
18,31940
19,32511
20,33680
21,34334
22,34908
23,35500
24,36184
25,36805
26,37416
27,38144
28,38801
29,39371
30,40109
31,40807
32,46642
33,47276
34,47879
35,52084
36,52689
37,53319
38,54520
39,56387
40,57829
41,58927
42,60747
43,61337
44,65866
45,69655
46,72476
47,74966
48,78011
49,78590
50,79806
51,82467
52,83078
53,84968
54,90502
55,95796
56,99698
57,100306
58,105654
59,107485
60,109628
61,110188
62,118247
63,123501
64,124101
65,124708
66,125269
67,125828
68,126430
69,127063
70,127617
71,128214
72,128996
73,129610
74,130242
75,131119
76,131738
77,132308
78,133009
79,133723
80,134345
81,134995
82,135732
83,136337
84,136943
85,137613
86,138293
87,138864
88,139476
89,140146
90,140713
91,141327
92,141966
93,142580
94,143167
95,143795
96,144433
97,145029
98,145628
99,146241
100,146871
101,147434
102,148074
103,148675
104,149259
105,149849
106,150455
107,151103
108,151708
109,152326
110,152995
111,153613
112,154196
113,154871
114,157065
115,158970
116,159574
117,161425
118,163260
119,165395
120,167209
121,169337
122,174976
123,175644
124,176315
125,176970
126,177623
127,178373
128,179107
129,179702
130,180433
131,181116
132,181705
133,182443
134,183132
135,183716
136,184357
137,185054
138,185699
139,186293
140,186971
141,187614
142,188200
143,192322
144,192909
145,195003
146,196349
147,196959
148,199835
149,201408
150,203017
151,205732
152,206343
153,207838
154,211175
155,211811
156,218754
157,220068
158,220652
159,221250
160,221933
161,224191
162,227609
163,233838
164,234455
165,240124
166,242348
167,243648
168,244283
169,244919
170,245605
171,250374
172,250958
173,251581
174,252222
175,252803
176,253425
177,254058
178,254664
179,255251
180,255917
181,256539
182,257149
183,257731
184,261709
185,263912
186,267132
187,271961
188,274817
189,275480
190,276204
191,276791
192,277447
193,278156
194,278769
195,279391
196,280034
197,280700
198,281278
199,281890
200,282583
201,283174
202,283806
203,284541
204,285178
205,285776
206,286462
207,287114
208,289352
209,291531
210,300119
211,308982
212,311958
213,319112
214,330398
215,341529
216,347001
217,358918
218,363127
219,365382
220,370323
221,370983
222,371634
223,374589
224,379595
225,385112
226,385776
227,387976
228,402408
229,409348
230,412010
231,412618
232,415132
233,418207
234,435293
235,438109
236,440321
237,441613
238,444304
239,447002
240,448916
241,452704
242,454510
243,455135
244,459091
245,462595
246,464556
247,465156
248,465926
249,467954
250,470622
251,471218
252,471951
253,474423
254,475704
255,477919
256,478544
257,479180
258,482242
259,485873
260,492993
261,500975
262,503188
263,504112
264,505686
265,506260
266,506983
267,507572
268,508158
269,508845
270,509470
271,510056
272,510689
273,511390
274,512023
275,512627
276,513353
277,514029
278,514637
279,515318
280,516149
281,516761
282,517473
283,518265
284,518875
285,519580
286,520320
287,520918
288,521595
289,522281
290,522916
291,523564
292,524190
293,524826
294,525417
295,526058
296,527902
297,530451
298,532252
299,533494
300,534059
301,535033
302,538269
303,541967
304,542562
305,550907
306,551767
307,553876
308,557043
309,558965
310,559593
311,563854
312,565504
313,567049
314,575712
315,577861
316,578561
317,579169
318,581119
319,581703
320,582359
321,583030
322,583614
323,584286
324,586183
325,586855
326,588344
327,592009
328,592590
329,594703
330,597414
331,598077
332,599574
333,600198
334,602407
335,603952
336,604624
337,605215
338,610268
339,610887
340,611513
341,612128
342,612761
343,613414
344,615556
345,617718
346,620744
347,622610
348,624868
349,631516
350,632211
351,633704
352,637638
353,639221
354,639764
355,641606
356,642171
357,642801
358,644941
359,647099
360,648052
361,649332
