,PVC
0,88985
1,107010
2,107630
3,107745
4,107852
5,107977
6,108104
7,108224
8,108337
9,108464
10,109259
11,109382
12,109490
13,109599
14,109706
15,109801
16,109906
17,110018
18,110124
19,113869
20,130747
21,201047
22,230610
23,235000
24,296046
25,333365
26,333869
27,333989
28,334162
29,348540
30,432140
31,478867
32,483511
33,492288
34,514596
35,515079
36,524231
37,525834
38,526172
39,526365
40,526500
41,526612
42,526709
43,526806
44,526912
45,527025
46,527128
47,527235
48,527332
49,527756
50,527992
51,528248
52,528487
53,528735
54,528966
55,529240
56,529525
57,529783
58,530064
59,530324
60,530508
61,530612
62,531630
63,531821
64,531934
65,534167
66,594504
67,605645
68,606453
69,608298
70,616120
