,PVC
0,2251
1,2368
2,3853
3,4540
4,16069
5,16726
6,16858
7,16976
8,17429
9,19894
10,21861
11,21974
12,22258
13,23397
14,23770
15,25441
16,26449
17,26590
18,27972
19,30743
20,33132
21,33269
22,33405
23,33895
24,35139
25,35263
26,36678
27,37895
28,38000
29,38120
30,39002
31,39126
32,40833
33,41394
34,45708
35,46117
36,46859
37,48196
38,49189
39,51187
40,56370
41,56503
42,57005
43,70026
44,71140
45,77732
46,78269
47,78951
48,79447
49,80440
50,80575
51,81125
52,83357
53,89459
54,91766
55,91883
56,92787
57,94091
58,96417
59,96885
60,97019
61,97151
62,99807
63,100315
64,100444
65,101286
66,103243
67,103660
68,103783
69,105261
70,106410
71,108616
72,108747
73,108858
74,108985
75,109377
76,109526
77,109632
78,109779
79,109919
80,110045
81,110153
82,110316
83,110455
84,110959
85,111368
86,111872
87,111996
88,113821
89,116431
90,122530
91,122660
92,123196
93,125910
94,127056
95,128852
96,129597
97,135781
98,135887
99,136464
100,136814
101,139172
102,143590
103,145084
104,147895
105,148012
106,148567
107,149342
108,153477
109,153597
110,154267
111,154399
112,157869
113,159007
114,159610
115,160830
116,161340
117,161740
118,163079
119,163470
120,165715
121,167059
122,168151
123,169952
124,170404
125,171319
126,173712
127,178411
128,179379
129,180200
130,182260
131,183265
132,183995
133,184123
134,184249
135,184829
136,185825
137,186688
138,189878
139,189997
140,191976
141,192101
142,193604
143,195288
144,197121
145,198664
146,204581
147,206160
148,206541
149,207936
150,210714
151,211328
152,211871
153,213330
154,213752
155,213889
156,215399
157,217123
158,219586
159,220754
160,220870
161,222917
162,223036
163,223489
164,225784
165,226510
166,226626
167,226907
168,227951
169,228314
170,229569
171,230878
172,230984
173,231110
174,231247
175,232941
176,234175
177,234833
178,236227
179,236358
180,240325
181,240886
182,241533
183,247628
184,249109
185,251795
186,253093
187,255014
188,255654
189,255766
190,255886
191,257175
192,257577
193,258017
194,258112
195,258642
196,259002
197,262185
198,262284
199,264128
200,266935
201,267025
202,267152
203,267283
204,267650
205,269218
206,269331
207,270795
208,271497
209,271997
210,272920
211,273045
212,273157
213,273277
214,274079
215,275356
216,275467
217,275862
218,276283
219,278868
220,281505
221,281621
222,281747
223,286669
224,287130
225,287256
226,287949
227,288072
228,289066
229,291182
230,293408
231,294063
232,294675
233,302804
234,303308
235,307430
236,313030
237,313142
238,316602
239,317853
240,320907
241,323043
242,325672
243,326696
244,329982
245,330112
246,332764
247,332883
248,336697
249,340029
250,340157
251,340776
252,348082
253,348433
254,351054
255,356289
256,356416
257,357894
258,359359
259,363142
260,363267
261,365901
262,367445
263,368964
264,370543
265,372431
266,372944
267,373788
268,374736
269,375316
270,377340
271,378600
272,378737
273,379579
274,381059
275,383965
276,384457
277,385203
278,385340
279,386095
280,387025
281,387164
282,387292
283,387819
284,388287
285,390289
286,390416
287,390950
288,392499
289,393417
290,396162
291,396276
292,396960
293,397075
294,401779
295,403808
296,403943
297,405382
298,405506
299,405621
300,406614
301,409016
302,409907
303,410610
304,411113
305,413394
306,413504
307,413628
308,414057
309,414725
310,415080
311,415211
312,415325
313,415460
314,415937
315,417022
316,417151
317,417857
318,418446
319,418944
320,420005
321,422520
322,423434
323,426144
324,426263
325,428275
326,431992
327,433022
328,433160
329,433293
330,436754
331,436885
332,437478
333,437598
334,438576
335,439836
336,443554
337,444186
338,448018
339,453267
340,456865
341,456976
342,463930
343,467240
344,468077
345,471447
346,471937
347,476585
348,477706
349,477818
350,478340
351,480587
352,484981
353,486328
354,488473
355,501478
356,501570
357,509832
358,510244
359,511262
360,512350
361,512482
362,513407
363,516051
364,516182
365,517640
366,518437
367,518563
368,521894
369,522359
370,522491
371,525251
372,525351
373,534352
374,537813
375,538925
376,539022
377,539143
378,540006
379,540551
380,540677
381,546160
382,548083
383,549129
384,549705
385,549818
386,552616
387,553841
388,558380
389,558488
390,558979
391,559606
392,560827
393,563996
394,568536
395,569070
396,570543
397,571210
398,573357
399,573480
400,576552
401,577433
402,578000
403,578105
404,578228
405,578347
406,578472
407,578595
408,578717
409,580358
410,581655
411,581770
412,582948
413,586004
414,589815
415,589942
416,590081
417,590792
418,596656
419,596790
420,599400
421,599517
422,599888
423,601737
424,603671
425,603776
426,607878
427,610665
428,610762
429,610885
430,611015
431,612145
432,619122
433,619257
434,620161
435,620293
436,622401
437,623950
438,624067
439,624745
440,627081
441,635472
442,638114
443,644679
