,PVC
0,13863
1,24435
2,27694
3,28516
4,33245
5,34117
6,34852
7,35656
8,36456
9,58394
10,78980
11,83369
12,100029
13,123010
14,127844
15,134517
16,137834
17,144423
18,147797
19,155100
20,177332
21,178198
22,188758
23,193797
24,195395
25,196267
26,219693
27,221274
28,223575
29,224409
30,229472
31,253136
32,313437
33,328560
34,329349
35,365144
36,370305
37,390740
38,406197
39,428839
40,437846
41,438408
42,438943
43,478295
44,497278
45,497827
46,500616
47,501161
48,501718
49,503820
50,506742
51,524196
52,531922
53,535608
54,576589
55,583589
56,591607
57,597169
58,600065
59,620762
60,625917
61,628197
62,646270
63,648836
