,R
0,135
1,366
2,606
3,841
4,1082
5,1327
6,1562
7,1794
8,2042
9,2289
10,2528
11,2759
12,2994
13,3227
14,3463
15,3704
16,3938
17,4166
18,4400
19,4646
20,4880
21,5108
22,5339
23,5572
24,5805
25,6036
26,6271
27,6506
28,6736
29,6974
30,7210
31,7445
32,7676
33,7909
34,8142
35,8380
36,8622
37,8852
38,9084
39,9322
40,9568
41,9805
42,10034
43,10266
44,10503
45,10741
46,10982
47,11211
48,11441
49,11673
50,11915
51,12147
52,12378
53,12608
54,12844
55,13073
56,13310
57,13546
58,13780
59,14009
60,14250
61,14489
62,14723
63,14952
64,15185
65,15415
66,15651
67,15892
68,16120
69,16348
70,16581
71,16827
72,17060
73,17288
74,17518
75,17755
76,17992
77,18230
78,18463
79,18697
80,18927
81,19171
82,19404
83,19637
84,19863
85,20094
86,20320
87,20553
88,20785
89,21014
90,21238
91,21470
92,21705
93,21936
94,22162
95,22392
96,22624
97,22859
98,23097
99,23326
100,23557
101,23785
102,24026
103,24255
104,24485
105,24712
106,24942
107,25167
108,25403
109,25638
110,25867
111,26090
112,26329
113,26568
114,26803
115,27028
116,27259
117,27490
118,27723
119,27964
120,28195
121,28423
122,28654
123,28896
124,29128
125,29357
126,29587
127,29825
128,30056
129,30291
130,30522
131,30755
132,30980
133,31217
134,31452
135,31685
136,31909
137,32139
138,32367
139,32602
140,32837
141,33065
142,33290
143,33519
144,33756
145,33988
146,34216
147,34440
148,34674
149,34904
150,35140
151,35374
152,35604
153,35832
154,36070
155,36307
156,36542
157,36767
158,36997
159,37224
160,37459
161,37695
162,37923
163,38151
164,38385
165,38628
166,38860
167,39090
168,39323
169,39557
170,39789
171,40025
172,40261
173,40494
174,40723
175,40962
176,41203
177,41440
178,41669
179,41901
180,42133
181,42369
182,42613
183,42843
184,43069
185,43302
186,43546
187,43780
188,44007
189,44235
190,44469
191,44701
192,44932
193,45163
194,45391
195,45611
196,45840
197,46078
198,46312
199,46543
200,46777
201,47010
202,47247
203,47486
204,47715
205,47945
206,48181
207,48425
208,48661
209,48893
210,49126
211,49363
212,49605
213,49847
214,50079
215,50311
216,50543
217,50787
218,51022
219,51258
220,51488
221,51725
222,51958
223,52198
224,52432
225,52665
226,52895
227,53139
228,53375
229,53609
230,53838
231,54070
232,54299
233,54534
234,54772
235,55002
236,55227
237,55462
238,55704
239,55934
240,56160
241,56390
242,56624
243,56860
244,57099
245,57331
246,57564
247,57793
248,58033
249,58266
250,58497
251,58724
252,58956
253,59183
254,59416
255,59650
256,59882
257,60108
258,60344
259,60584
260,60820
261,61048
262,61281
263,61515
264,61752
265,61992
266,62223
267,62456
268,62694
269,62939
270,63171
271,63398
272,63629
273,63862
274,64095
275,64334
276,64562
277,64794
278,65022
279,65265
280,65499
281,65734
282,65965
283,66200
284,66430
285,66669
286,66907
287,67141
288,67366
289,67602
290,67840
291,68073
292,68298
293,68528
294,68758
295,68991
296,69226
297,69453
298,69680
299,69910
300,70153
301,70385
302,70615
303,70842
304,71079
305,71307
306,71543
307,71776
308,72007
309,72231
310,72466
311,72704
312,72939
313,73164
314,73396
315,73629
316,73867
317,74108
318,74343
319,74579
320,74814
321,75056
322,75290
323,75522
324,75753
325,75986
326,76218
327,76451
328,76684
329,76915
330,77140
331,77378
332,77614
333,77849
334,78075
335,78308
336,78541
337,78783
338,79024
339,79255
340,79482
341,79721
342,79962
343,80196
344,80423
345,80657
346,80891
347,81125
348,81363
349,81596
350,81825
351,82056
352,82294
353,82531
354,82765
355,82998
356,83235
357,83465
358,83702
359,83943
360,84178
361,84407
362,84644
363,84886
364,85120
365,85346
366,85578
367,85809
368,86047
369,86289
370,86520
371,86753
372,86992
373,87240
374,87480
375,87713
376,87949
377,88188
378,88432
379,88676
380,88911
381,89146
382,89385
383,89632
384,89869
385,90103
386,90341
387,90581
388,90824
389,91069
390,91307
391,91547
392,91786
393,92037
394,92275
395,92511
396,92749
397,92989
398,93228
399,93471
400,93706
401,93940
402,94176
403,94422
404,94662
405,94896
406,95130
407,95370
408,95608
409,95850
410,96090
411,96325
412,96557
413,96798
414,97036
415,97267
416,97495
417,97727
418,97955
419,98185
420,98418
421,98644
422,98868
423,99097
424,99333
425,99562
426,99787
427,100014
428,100245
429,100478
430,100712
431,100940
432,101168
433,101392
434,101626
435,101860
436,102092
437,102314
438,102540
439,102768
440,103004
441,103244
442,103470
443,103698
444,103932
445,104175
446,104405
447,104635
448,104863
449,105096
450,105325
451,105560
452,105789
453,106019
454,106242
455,106477
456,106709
457,106941
458,107166
459,107396
460,107625
461,107857
462,108095
463,108324
464,108555
465,108783
466,109027
