,R
0,300
1,614
2,887
3,1206
4,1417
5,1708
6,1924
7,2207
8,2478
9,2724
10,3011
11,3230
12,3457
13,3864
14,4277
15,4580
16,4903
17,5205
18,5571
19,5847
20,6059
21,6355
22,6687
23,7118
24,7387
25,7800
26,8212
27,8448
28,8730
29,8990
30,9236
31,9542
32,9882
33,10235
34,10532
35,10791
36,11023
37,11277
38,11543
39,11807
40,12147
41,12348
42,12706
43,13013
44,13315
45,13607
46,13863
47,14141
48,14415
49,14642
50,14962
51,15230
52,15578
53,15845
54,16093
55,16362
56,16617
57,16891
58,17195
59,17469
60,17750
61,17992
62,18290
63,18567
64,18792
65,19172
66,19457
67,19825
68,20030
69,20280
70,20653
71,20945
72,21178
73,21597
74,21841
75,22048
76,22299
77,22547
78,22841
79,23054
80,23352
81,23632
82,23879
83,24230
84,24435
85,24748
86,25015
87,25310
88,25515
89,25831
90,26101
91,26440
92,26652
93,26943
94,27173
95,27475
96,27694
97,27987
98,28305
99,28516
100,28783
101,29086
102,29353
103,29596
104,29843
105,30053
106,30378
107,30675
108,30967
109,31185
110,31453
111,31725
112,31980
113,32285
114,32633
115,32993
116,33245
117,33567
118,33848
119,34117
120,34413
121,34650
122,34852
123,35214
124,35452
125,35656
126,35906
127,36248
128,36456
129,36799
130,37050
131,37354
132,37659
133,37890
134,38182
135,38405
136,38688
137,38943
138,39235
139,39525
140,39748
141,40021
142,40328
143,40641
144,40993
145,41240
146,41498
147,41929
148,42233
149,42449
150,42893
151,43095
152,43421
153,43693
154,44024
155,44248
156,44536
157,44854
158,45196
159,45457
160,45678
161,45900
162,46131
163,46445
164,46786
165,47113
166,47439
167,47658
168,47961
169,48233
170,48509
171,48783
172,49107
173,49364
174,49581
175,49808
176,50130
177,50512
178,50741
179,51108
180,51364
181,51704
182,52018
183,52297
184,52588
185,52956
186,53277
187,53604
188,53843
189,54099
190,54303
191,54632
192,54911
193,55160
194,55427
195,55719
196,55930
197,56300
198,56579
199,56899
200,57153
201,57400
202,57700
203,57936
204,58180
205,58394
206,58665
207,58953
208,59249
209,59629
210,59864
211,60194
212,60462
213,60751
214,61018
215,61350
216,61680
217,61909
218,62207
219,62438
220,62730
221,63025
222,63580
223,63905
224,64129
225,64383
226,64696
227,64991
228,65380
229,65656
230,65962
231,66315
232,66548
233,66834
234,67103
235,67420
236,67708
237,67891
238,68209
239,68446
240,68721
241,68970
242,69214
243,69486
244,69779
245,70067
246,70327
247,70589
248,70913
249,71249
250,71561
251,71817
252,72112
253,72457
254,72736
255,73109
256,73322
257,73635
258,73882
259,74122
260,74401
261,74649
262,74935
263,75274
264,75543
265,75808
266,76106
267,76404
268,76691
269,76925
270,77209
271,77486
272,77700
273,77957
274,78233
275,78483
276,78778
277,78980
278,79367
279,79614
280,79858
281,80187
282,80459
283,80725
284,81027
285,81380
286,81756
287,82020
288,82286
289,82514
290,82802
291,83161
292,83369
293,83697
294,83964
295,84280
296,84586
297,84854
298,85074
299,85354
300,85566
301,85890
302,86194
303,86468
304,86693
305,87012
306,87397
307,87668
308,87919
309,88221
310,88505
311,88709
312,89040
313,89311
314,89568
315,89873
316,90189
317,90581
318,90888
319,91230
320,91451
321,91648
322,91860
323,92296
324,92568
325,92777
326,93028
327,93329
328,93612
329,93855
330,94099
331,94305
332,94617
333,94963
334,95254
335,95533
336,95859
337,96141
338,96444
339,96848
340,97068
341,97353
342,97637
343,97916
344,98232
345,98439
346,98751
347,98949
348,99246
349,99536
350,99811
351,100029
352,100385
353,100593
354,100861
355,101090
356,101347
357,101570
358,101950
359,102318
360,102555
361,102835
362,103091
363,103412
364,103687
365,103907
366,104214
367,104430
368,104701
369,105013
370,105253
371,105523
372,105741
373,106028
374,106333
375,106601
376,106984
377,107318
378,107623
379,107916
380,108183
381,108411
382,109340
383,109694
384,110009
385,110615
386,110944
387,111262
388,111571
389,111878
390,112185
391,112827
392,113129
393,113443
394,113749
395,114059
396,114352
397,114684
398,115301
399,115924
400,116211
401,116543
402,117120
403,117415
404,117703
405,117998
406,118257
407,118533
408,118765
409,119063
410,119361
411,119657
412,119934
413,120168
414,120455
415,120730
416,120966
417,121277
418,121598
419,121850
420,122175
421,122485
422,122809
423,123010
424,123279
425,123624
426,123920
427,124143
428,124437
429,124743
430,124972
431,125273
432,125537
433,125858
434,126099
435,126341
436,126582
437,126808
438,127045
439,127351
440,127632
441,127844
442,128110
443,128378
444,128645
445,128884
446,129160
447,129498
448,129780
449,130067
450,130338
451,130625
452,130956
453,131229
454,131562
455,131858
456,132105
457,132334
458,132629
459,132996
460,133223
461,133549
462,133820
463,134074
464,134306
465,134517
466,134948
467,135171
468,135443
469,135750
470,135957
471,136233
472,136502
473,136735
474,137000
475,137304
476,137608
477,137834
478,138113
479,138376
480,138675
481,138938
482,139188
483,139466
484,139748
485,140050
486,140341
487,140673
488,140876
489,141180
490,141490
491,141747
492,142099
493,142334
494,142599
495,142835
496,143184
497,143438
498,143654
499,143947
500,144222
501,144423
502,144723
503,144947
504,145204
505,145442
506,145683
507,145927
508,146284
509,146596
510,146840
511,147074
512,147317
513,147587
514,147797
515,148068
516,148347
517,148808
518,149074
519,149403
520,149618
521,149872
522,150185
523,150472
524,150725
525,150970
526,151306
527,151576
528,151806
529,152060
530,152286
531,152554
532,152779
533,153051
534,153266
535,153576
536,153863
537,154092
538,154399
539,154668
540,154896
541,155100
542,155395
543,155656
544,155886
545,156160
546,156435
547,156713
548,157003
549,157289
550,157602
551,157902
552,158190
553,158487
554,158794
555,159033
556,159342
557,159640
558,159946
559,160229
560,160522
561,160770
562,161011
563,161287
564,161600
565,161850
566,162154
567,162447
568,162738
569,163058
570,163324
571,163632
572,164093
573,164338
574,164739
575,165064
576,165518
577,165806
578,166130
579,166375
580,166653
581,166966
582,167247
583,167560
584,167847
585,168152
586,168449
587,168857
588,169074
589,169319
590,169586
591,169875
592,170165
593,170448
594,170739
595,171037
596,171324
597,171583
598,171909
599,172213
600,172467
601,172857
602,173168
603,173413
604,173638
605,173994
606,174256
607,174579
608,174811
609,175059
610,175382
611,175669
612,175968
613,176261
614,176520
615,176797
616,177124
617,177332
618,177681
619,177980
620,178198
621,178476
622,178801
623,179105
624,179401
625,179663
626,179980
627,180238
628,180535
629,180837
630,181165
631,181436
632,181734
633,182017
634,182317
635,182548
636,182831
637,183203
638,183797
639,184093
640,184388
641,184676
642,184943
643,185218
644,185495
645,185798
646,186166
647,186508
648,186742
649,186958
650,187250
651,187533
652,187796
653,188058
654,188305
655,188558
656,188758
657,189016
658,189228
659,189470
660,189758
661,190024
662,190362
663,190820
664,191126
665,191562
666,191946
667,192238
668,192544
669,192741
670,193035
671,193324
672,193588
673,193797
674,194149
675,194347
676,194614
677,194904
678,195192
679,195395
680,195762
681,196064
682,196267
683,196610
684,196916
685,197228
686,197537
687,197826
688,198125
689,198344
690,198626
691,198909
692,199165
693,199400
694,199743
695,200089
696,200350
697,200636
698,200925
699,201139
700,201379
701,201706
702,202051
703,202374
704,202671
705,203000
706,203300
707,203585
708,203904
709,204189
710,204479
711,204793
712,205078
713,205357
714,205583
715,205812
716,206099
717,206428
718,206656
719,206933
720,207190
721,207422
722,207714
723,208016
724,208299
725,208560
726,208770
727,209022
728,209282
729,209563
730,209839
731,210118
732,210399
733,210621
734,210967
735,211248
736,211528
737,211794
738,212101
739,212379
740,212611
741,212947
742,213244
743,213531
744,213783
745,214042
746,214347
747,214685
748,214956
749,215248
750,215542
751,215803
752,216016
753,216253
754,216523
755,216805
756,217042
757,217264
758,217522
759,217798
760,218039
761,218453
762,218767
763,219126
764,219489
765,219693
766,220048
767,220250
768,220519
769,220814
770,221060
771,221274
772,221531
773,221805
774,222062
775,222341
776,222589
777,222850
778,223075
779,223364
780,223575
781,223856
782,224171
783,224409
784,224709
785,224978
786,225274
787,225482
788,225778
789,226065
790,226287
791,226583
792,226815
793,227079
794,227373
795,227656
796,227965
797,228230
798,228452
799,228727
800,228993
801,229268
802,229472
803,229739
804,230001
805,230241
806,230519
807,230725
808,231073
809,231285
810,231642
811,232004
812,232224
813,232464
814,232741
815,233036
816,233391
817,233770
818,234046
819,234264
820,234564
821,234919
822,235138
823,235423
824,235806
825,236175
826,236452
827,236756
828,237021
829,237251
830,237499
831,237763
832,237990
833,238249
834,238571
835,238852
836,239129
837,239491
838,239766
839,240070
840,240391
841,240704
842,240981
843,241295
844,241552
845,241835
846,242134
847,242453
848,242674
849,242951
850,243232
851,243500
852,243833
853,244114
854,244414
855,244667
856,244921
857,245166
858,245503
859,245821
860,246171
861,246439
862,246754
863,247151
864,247403
865,247621
866,247934
867,248209
868,248415
869,248742
870,249033
871,249378
872,249631
873,249905
874,250243
875,250768
876,251055
877,251327
878,251645
879,251895
880,252127
881,252437
882,252712
883,252936
884,253136
885,253511
886,253724
887,254083
888,254292
889,254521
890,254779
891,255043
892,255271
893,255559
894,255815
895,256109
896,256391
897,256639
898,256874
899,257325
900,257607
901,257829
902,258130
903,258401
904,258680
905,258913
906,259196
907,259404
908,259732
909,259975
910,260264
911,260570
912,260790
913,261097
914,261325
915,261664
916,261991
917,262306
918,262571
919,262922
920,263240
921,263448
922,263787
923,264009
924,264322
925,264527
926,264843
927,265158
928,265463
929,265665
930,265977
931,266209
932,266545
933,267015
934,267240
935,267516
936,267753
937,268025
938,268234
939,268450
940,268788
941,269082
942,269391
943,269672
944,269899
945,270155
946,270469
947,270774
948,270973
949,271323
950,271587
951,271827
952,272117
953,272336
954,272641
955,272940
956,273213
957,273478
958,273721
959,273959
960,274293
961,274625
962,274883
963,275189
964,275512
965,275841
966,276106
967,276350
968,276710
969,276981
970,277317
971,277514
972,277855
973,278060
974,278339
975,278601
976,278794
977,279044
978,279266
979,279578
980,279846
981,280178
982,280478
983,280871
984,281155
985,281416
986,281670
987,282053
988,282339
989,282654
990,282934
991,283259
992,283601
993,283863
994,284060
995,284381
996,284588
997,284903
998,285195
999,285415
1000,285614
1001,285880
1002,286150
1003,286438
1004,286657
1005,286943
1006,287159
1007,287622
1008,287943
1009,288235
1010,288475
1011,288768
1012,289082
1013,289354
1014,289684
1015,289973
1016,290256
1017,290519
1018,290748
1019,291023
1020,291326
1021,291555
1022,291866
1023,292174
1024,292511
1025,292841
1026,293200
1027,293461
1028,293697
1029,293943
1030,294226
1031,294487
1032,294805
1033,295133
1034,295350
1035,295675
1036,295942
1037,296260
1038,296522
1039,296769
1040,297070
1041,297357
1042,297594
1043,297822
1044,298086
1045,298603
1046,298819
1047,299196
1048,299393
1049,299764
1050,300081
1051,301003
1052,301335
1053,301941
1054,302497
