,R
0,83
1,396
2,711
3,1032
4,1368
5,1712
6,2036
7,2349
8,2662
9,2972
10,3301
11,3631
12,3960
13,4283
14,4609
15,4928
16,5241
17,5569
18,5898
19,6223
20,6528
21,6830
22,7143
23,7463
24,7786
25,8105
26,8414
27,8721
28,9026
29,9321
30,9628
31,9953
32,10281
33,10590
34,10892
35,11185
36,11470
37,11760
38,12050
39,12338
40,12621
41,12911
42,13183
43,13457
44,13740
45,14030
46,14333
47,14640
48,14923
49,15195
50,15474
51,15760
52,16051
53,16351
54,16655
55,16956
56,17250
57,17532
58,17814
59,18099
60,18396
61,18687
62,18977
63,19267
64,19558
65,19860
66,20173
67,20493
68,20822
69,21166
70,21498
71,21808
72,22130
73,22451
74,22782
75,23126
76,23457
77,23774
78,24090
79,24404
80,24720
81,25040
82,25374
83,25704
84,26008
85,26310
86,26637
87,26967
88,27303
89,27621
90,27934
91,28243
92,28559
93,28861
94,29155
95,29467
96,29782
97,30088
98,30387
99,30688
100,30985
101,31310
102,31634
103,31947
104,32262
105,32565
106,32866
107,33165
108,33467
109,33777
110,34092
111,34391
112,34679
113,34980
114,35288
115,35598
116,35912
117,36217
118,36529
119,36837
120,37141
121,37450
122,37773
123,38099
124,38430
125,38748
126,39059
127,39376
128,39692
129,40013
130,40340
131,40668
132,40976
133,41265
134,41543
135,41829
136,42126
137,42421
138,42714
139,42990
140,43268
141,43546
142,43816
143,44095
144,44387
145,44676
146,44977
147,45270
148,45553
149,45839
150,46138
151,46440
152,46750
153,47060
154,47359
155,47655
156,47944
157,48228
158,48517
159,48821
160,49125
161,49422
162,49699
163,49978
164,50248
165,50527
166,50816
167,51114
168,51400
169,51687
170,51965
171,52239
172,52512
173,52794
174,53087
175,53381
176,53667
177,53947
178,54221
179,54517
180,54814
181,55107
182,55405
183,55710
184,56011
185,56307
186,56607
187,56918
188,57252
189,57592
190,57928
191,58245
192,58542
193,58845
194,59166
195,59490
196,59822
197,60156
198,60477
199,60784
200,61089
201,61395
202,61727
203,62058
204,62359
205,62672
206,62994
207,63315
208,63631
209,63967
210,64292
211,64627
212,64929
213,65245
214,65576
215,65906
216,66225
217,66564
218,66890
219,67198
220,67510
221,67832
222,68164
223,68505
224,68830
225,69136
226,69446
227,69757
228,70082
229,70417
230,70752
231,71088
232,71400
233,71710
234,72021
235,72350
236,72680
237,73002
238,73307
239,73600
240,73912
241,74229
242,74556
243,74896
244,75213
245,75537
246,75854
247,76167
248,76493
249,76831
250,77161
251,77498
252,77827
253,78147
254,78474
255,78815
256,79159
257,79516
258,79853
259,80161
260,80464
261,80773
262,81107
263,81452
264,81790
265,82113
266,82443
267,82773
268,83107
269,83433
270,83777
271,84118
272,84427
273,84735
274,85072
275,85418
276,85752
277,86068
278,86372
279,86683
280,86992
281,87305
282,87654
283,88000
284,88338
285,88667
286,88999
287,89345
288,89699
289,90060
290,90399
291,90737
292,91069
293,91397
294,91743
295,92094
296,92448
297,92791
298,93131
299,93471
300,93817
301,94157
302,94517
303,94869
304,95199
305,95528
306,95864
307,96227
308,96589
309,96941
310,97284
311,97612
312,97950
313,98290
314,98647
315,99012
316,99358
317,99692
318,100016
319,100361
320,100722
321,101086
322,101426
323,101771
324,102113
325,102456
326,102825
327,103197
328,103555
329,103881
330,104210
331,104548
332,104883
333,105199
334,105532
335,105852
336,106182
337,106505
338,106842
339,107208
340,107567
341,107918
342,108253
343,108574
344,108918
345,109274
346,109634
347,109998
348,110346
349,110691
350,111047
351,111410
352,111791
353,112165
354,112522
355,112880
356,113245
357,113615
358,113985
359,114354
360,115062
361,115742
362,116091
363,116436
364,116769
365,117098
366,117433
367,117779
368,118144
369,118512
370,118853
371,119177
372,119512
373,119845
374,120171
375,120502
376,120823
377,121148
378,121458
379,121760
380,122091
381,122446
382,122802
383,123145
384,123475
385,123823
386,124179
387,124536
388,124893
389,125233
390,125563
391,125889
392,126227
393,126592
394,126953
395,127298
396,127636
397,127968
398,128290
399,128631
400,128985
401,129352
402,129694
403,130007
404,130333
405,130649
406,130989
407,131319
408,131647
409,131957
410,132266
411,132576
412,132911
413,133273
414,133649
415,134018
416,134365
417,134721
418,135105
419,135725
420,136087
421,136434
422,136785
423,137137
424,137507
425,137887
426,138232
427,138581
428,138934
429,139310
430,139689
431,140063
432,140433
433,140775
434,141126
435,141494
436,141873
437,142251
438,142610
439,142948
440,143307
441,143680
442,144060
443,144440
444,144808
445,145156
446,145507
447,145878
448,146249
449,146604
450,146961
451,147315
452,147671
453,148051
454,148435
455,148811
456,149166
457,149521
458,149881
459,150259
460,150649
461,151012
462,151367
463,151729
464,152092
465,152470
466,152861
467,153243
468,153598
469,153960
470,154344
471,154722
472,155101
473,155477
474,155837
475,156187
476,156555
477,156944
478,157323
479,157672
480,158028
481,158385
482,158755
483,159118
484,159489
485,159866
486,160216
487,160573
488,160951
489,161334
490,161717
491,162087
492,162455
493,162819
494,163204
495,163595
496,163972
497,164333
498,164692
499,165053
500,165441
501,165832
502,166203
503,166558
504,166920
505,167293
506,167654
507,168030
508,168389
509,168728
510,169053
511,169391
512,169764
513,170128
514,170481
515,170844
516,171192
517,171538
518,171902
519,172272
520,172645
521,172991
522,173329
523,173700
524,174087
525,174455
526,174833
527,175192
528,175545
529,175914
530,176286
531,176664
532,177032
533,177378
534,177697
535,178030
536,178388
537,178752
538,179130
539,179490
540,179836
541,180214
542,180597
543,180975
544,181342
545,181691
546,182042
547,182387
548,182733
549,183074
550,183425
551,183767
552,184105
553,184448
554,184806
555,185157
556,185494
557,185822
558,186153
559,186490
560,186846
561,187206
562,187570
563,187895
564,188208
565,188530
566,188860
567,189211
568,189561
569,189900
570,190236
571,190563
572,190882
573,191226
574,191580
575,191936
576,192263
577,192586
578,192918
579,193257
580,193605
581,193949
582,194285
583,194622
584,194953
585,195285
586,195636
587,196004
588,196365
589,196702
590,197045
591,197391
592,197734
593,198083
594,198433
595,198780
596,199117
597,199457
598,199810
599,200168
600,200524
601,200870
602,201213
603,201550
604,201895
605,202242
606,202598
607,202960
608,203309
609,203648
610,203997
611,204344
612,204689
613,205033
614,205365
615,205697
616,206047
617,206419
618,206785
619,207160
620,207520
621,207879
622,208235
623,208623
624,209015
625,209377
626,209746
627,210109
628,210473
629,210848
630,211239
631,211621
632,211976
633,212351
634,212726
635,213095
636,213462
637,213813
638,214152
639,214496
640,214847
641,215234
642,215981
643,216337
644,216689
645,217038
646,217389
647,217719
648,218060
649,218391
650,218712
651,219066
652,219442
653,219819
654,220183
655,220549
656,220916
657,221281
658,221668
659,222038
660,222388
661,222729
662,223064
663,223417
664,223782
665,224136
666,224485
667,224826
668,225171
669,225515
670,225889
671,226266
672,226634
673,226996
674,227350
675,227704
676,228086
677,228466
678,228826
679,229191
680,229550
681,229900
682,230272
683,230660
684,231032
685,231373
686,231734
687,232104
688,232476
689,232853
690,233228
691,233593
692,233939
693,234309
694,234705
695,235084
696,235452
697,235812
698,236174
699,236543
700,236936
701,237325
702,237680
703,238027
704,238382
705,238734
706,239108
707,239482
708,239829
709,240176
710,240536
711,240904
712,241281
713,241663
714,242035
715,242385
716,242751
717,243139
718,243527
719,243902
720,244268
721,244639
722,244994
723,245374
724,245769
725,246139
726,246488
727,246844
728,247224
729,247598
730,247975
731,248351
732,248707
733,249045
734,249406
735,249782
736,250145
737,250507
738,250852
739,251203
740,251550
741,251919
742,252299
743,252660
744,253018
745,253374
746,253744
747,254123
748,254501
749,254873
750,255220
751,255586
752,255962
753,256342
754,256732
755,257109
756,257458
757,257823
758,258207
759,258585
760,258958
761,259325
762,259682
763,260022
764,260376
765,260752
766,261126
767,261478
768,261827
769,262186
770,262549
771,262922
772,263297
773,263646
774,264002
775,264356
776,264714
777,265097
778,265470
779,265817
780,266167
781,266533
782,266899
783,267268
784,267637
785,267998
786,268346
787,268694
788,269071
789,269452
790,269814
791,270171
792,270535
793,270887
794,271259
795,271643
796,272006
797,272361
798,272714
799,273077
800,273448
801,273821
802,274190
803,274538
804,274895
805,275261
806,275621
807,276002
808,276378
809,276725
810,277069
811,277433
812,277818
813,278180
814,278539
815,278906
816,279255
817,279604
818,279983
819,280373
820,280734
821,281089
822,281454
823,281821
824,282192
825,282574
826,282944
827,283296
828,283658
829,284022
830,284406
831,284778
832,285147
833,285501
834,285850
835,286222
836,286598
837,286965
838,287326
839,287680
840,288032
841,288394
842,288785
843,289149
844,289506
845,289868
846,290214
847,290574
848,290953
849,291318
850,291673
851,292025
852,292374
853,292739
854,293117
855,293493
856,293844
857,294195
858,294552
859,294909
860,295270
861,295638
862,295989
863,296335
864,296687
865,297070
866,297445
867,297807
868,298183
869,298538
870,298892
871,299267
872,299625
873,299989
874,300325
875,300639
876,300970
877,301301
878,301657
879,302025
880,302393
881,302745
882,303101
883,303473
884,303862
885,304239
886,304611
887,304977
888,305338
889,305705
890,306081
891,306471
892,306832
893,307189
894,307544
895,307908
896,308637
897,308980
898,309327
899,309668
900,310028
901,310407
902,310785
903,311133
904,311477
905,311824
906,312172
907,312539
908,312905
909,313248
910,313594
911,313943
912,314287
913,314650
914,314986
915,315305
916,315612
917,315923
918,316234
919,316564
920,316902
921,317232
922,317585
923,317928
924,318279
925,318636
926,319018
927,319400
928,319760
929,320107
930,320468
931,320838
932,321220
933,321584
934,321949
935,322301
936,322648
937,323014
938,323392
939,323761
940,324112
941,324455
942,324815
943,325182
944,325547
945,325912
946,326257
947,326571
948,326884
949,327202
950,327555
951,327916
952,328268
953,328618
954,328973
955,329339
956,329721
957,330090
958,330465
959,330826
960,331197
961,331574
962,331952
963,332321
964,332688
965,333051
966,333405
967,333742
968,334110
969,334457
970,334785
971,335095
972,335399
973,335709
974,336019
975,336345
976,336669
977,336994
978,337310
979,337624
980,337951
981,338300
982,338660
983,339015
984,339361
985,339724
986,340072
987,340434
988,340785
989,341115
990,341442
991,341773
992,342124
993,342506
994,342888
995,343268
996,343635
997,344007
998,344378
999,344746
1000,345124
1001,345487
1002,345827
1003,346154
1004,346497
1005,346860
1006,347205
1007,347527
1008,347857
1009,348190
1010,348520
1011,348868
1012,349228
1013,349593
1014,349930
