,PVC
0,42
1,511
2,1107
3,1574
4,2173
5,3013
6,4521
7,4954
8,5765
9,8071
10,8917
11,9983
12,10223
13,10354
14,10829
15,11415
16,11882
17,12462
18,12931
19,13742
20,14332
21,14790
22,15598
23,15717
24,16169
25,17397
26,18221
27,19443
28,20290
29,20873
30,22304
31,22769
32,23333
33,23754
34,24994
35,25596
36,26050
37,26632
38,27462
39,28295
40,28900
41,29430
42,31909
43,33120
44,33937
45,35145
46,36740
47,39956
48,41645
49,42618
50,43075
51,43669
52,44125
53,44689
54,45107
55,45532
56,45988
57,46594
58,47627
59,48080
60,48463
61,48863
62,49716
63,50318
64,50721
65,51171
66,51601
67,52212
68,52642
69,53071
70,53514
71,53650
72,54117
73,54756
74,55178
75,55823
76,56248
77,56673
78,57294
79,57755
80,58345
81,58771
82,59202
83,59649
84,60265
85,60892
86,61754
87,62386
88,63019
89,63430
90,64897
91,65353
92,66147
93,66932
94,68359
95,68780
96,69396
97,69811
98,70427
99,70897
100,71709
101,72548
102,73139
103,73555
104,75809
105,76287
106,76905
107,77319
108,77754
109,79693
110,79847
111,80538
112,81133
113,82212
114,82375
115,84284
116,84525
117,85507
118,87175
119,87627
120,88225
121,88637
122,92015
123,93293
124,93421
125,93915
126,95177
127,95798
128,97087
129,98366
130,99864
131,100690
132,101151
133,103044
134,103910
135,104352
136,105630
137,106900
138,107737
139,108611
140,109461
141,109900
142,110316
143,110768
144,112048
145,112912
146,113366
147,113775
148,114238
149,115508
150,116356
151,117225
152,118064
153,118916
154,119799
155,120658
156,121570
157,122430
158,122826
159,122979
160,124323
161,125186
162,126064
163,127362
164,128223
165,129083
166,129942
167,130796
168,131656
169,132470
170,133335
171,134193
172,135043
173,135889
174,136748
175,137614
176,138459
177,139330
178,140188
179,141049
180,141909
181,142756
182,143617
183,144944
184,145995
185,146490
186,146626
187,147088
188,147578
189,148168
190,148670
191,149536
192,150166
193,150331
194,150782
195,151702
196,152738
197,153631
198,153769
199,154211
200,158036
201,158614
202,159851
203,161114
204,162424
205,163881
206,164338
207,165589
208,166455
209,167330
210,168218
211,169110
212,169976
213,170828
214,171682
215,172516
216,173391
217,174238
218,175083
219,175934
220,176769
221,177453
222,177637
223,178048
224,179346
225,180188
226,181047
227,181879
228,182747
229,183592
230,184430
231,184568
232,185476
233,186332
234,187188
235,188050
236,188904
237,190413
238,191265
239,192123
240,192978
241,193470
242,194315
243,195178
244,195405
245,196640
246,197907
247,198741
248,199613
249,200500
250,201333
251,202182
252,203032
253,203240
254,204479
255,204956
256,205096
257,205974
258,206822
259,207300
260,208168
261,209040
262,209910
263,210770
264,211644
265,211851
266,211988
267,212498
268,213777
269,215053
270,215902
271,216780
272,217650
273,218496
274,219370
275,219972
276,221275
277,222765
278,222925
279,223423
280,224270
281,224407
282,225745
283,226221
284,226351
285,226795
286,227230
287,227695
288,228056
289,228914
290,231073
291,231236
292,231667
293,232128
294,232731
295,233156
296,234488
297,235343
298,236205
299,237069
300,237681
301,240236
302,240852
303,241298
304,241915
305,243627
306,244231
307,244644
308,245065
309,245506
310,246100
311,246540
312,246960
313,247401
314,248008
315,248426
316,248812
317,249283
318,249862
319,250329
320,251147
321,252626
322,253062
323,253930
324,254088
325,254536
326,255164
327,256438
328,256880
329,257733
330,258591
331,259448
332,260303
333,260900
334,262359
335,262810
336,263413
337,264265
338,265138
339,265742
340,266610
341,267480
342,268328
343,269206
344,270065
345,270909
346,271799
347,272400
348,274128
349,274980
350,275574
351,277350
352,277934
353,278403
354,278991
355,283443
356,283547
357,284012
358,284889
359,285059
360,286322
361,287160
362,288399
363,290691
364,292331
365,292789
366,293212
367,294049
368,294614
369,296351
370,296936
371,298206
372,299061
373,299906
374,300321
375,300760
376,301366
377,301541
378,302442
379,303695
380,305235
381,305591
382,306035
383,306417
384,306856
385,307474
386,307892
387,308321
388,309177
389,309777
390,310207
391,310624
392,311062
393,311678
394,312140
395,312736
396,313152
397,313582
398,314219
399,314690
400,315286
401,315706
402,316137
403,316564
404,317444
405,318290
406,318893
407,319302
408,320572
409,321434
410,322301
411,323138
412,323317
413,323775
414,324619
415,325442
416,326036
417,326490
418,327070
419,327501
420,330996
421,331796
422,332215
423,333025
424,333451
425,334655
426,335056
427,337743
428,338546
429,339372
430,341612
431,345272
432,347514
433,347916
434,348331
435,348442
436,351830
437,352265
438,353293
439,353756
440,354333
441,354777
442,354902
443,355788
444,356238
445,356839
446,357299
447,357895
448,358312
449,359575
450,360003
451,360441
452,361300
453,362139
454,362757
455,363171
456,364022
457,364863
458,365685
459,366524
460,367803
461,369057
462,369478
463,370717
464,372153
465,372577
466,373419
467,374248
468,375089
469,375677
470,376916
471,377357
472,377952
473,378409
474,378982
475,379420
476,379996
477,380418
478,381673
479,382513
480,383737
481,384984
482,385407
483,387286
484,387718
485,388539
486,388672
487,389172
488,390432
489,392086
490,392945
491,393789
492,395834
493,396673
494,397256
495,398143
496,398555
497,398988
498,400237
499,402324
500,403562
501,405633
502,406078
503,407102
504,407280
505,407745
506,408166
507,408755
508,409217
509,410645
510,411084
511,412329
512,413580
513,413749
514,414213
515,415672
516,416123
517,416935
518,417072
519,417562
520,418168
521,418629
522,419214
523,419680
524,419820
525,420732
526,421310
527,421764
528,422364
529,422818
530,423213
531,423827
532,424670
533,425504
534,426352
535,427203
536,428048
537,428899
538,429748
539,430200
540,431014
541,435355
542,436188
543,436625
544,437704
545,438530
546,439786
547,440639
548,441484
549,441941
550,442961
551,443806
552,444652
553,445105
554,445944
555,446148
556,446586
557,446732
558,448060
559,448911
560,449768
561,450616
562,452747
563,453582
564,454435
565,456184
566,457037
567,457911
568,458792
569,459651
570,460516
571,461392
572,462237
573,463119
574,463969
575,464825
576,465678
577,466527
578,467388
579,468250
580,469097
581,469946
582,470798
583,471647
584,472500
585,473355
586,474240
587,475087
588,475217
589,475674
590,476577
591,477410
592,477556
593,478034
594,479267
595,480152
596,480291
597,480737
598,481185
599,481986
600,482800
601,482948
602,484007
603,484157
604,484818
605,485406
606,485582
607,485722
608,486227
609,486385
610,486823
611,487044
612,487200
613,487658
614,488672
615,489153
616,489313
617,490166
618,490739
619,491563
620,492386
621,492594
622,492720
623,493618
624,494063
625,495920
626,496768
627,497617
628,498453
629,499293
630,500136
631,500979
632,501829
633,502686
634,503529
635,504371
636,505221
